raw_smiles,dataset,key_salt,exact_nosalt,exact_salt
c1cc2ccc3cccc4ccc(c1)c2c34,ESOL,c1cc2ccc3cccc4ccc(c1)c2c34,0,1
Cc1cc(=O)[nH]c(=S)[nH]1,ESOL,Cc1cc(=O)[nH]c(=S)[nH]1,0,1
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,ESOL,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0,1
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,ESOL,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0,1
C1=Cc2cccc3cccc1c23,ESOL,C1=Cc2cccc3cccc1c23,0,1
CC1CO1,ESOL,CC1CO1,0,1
CCN2c1ccccc1N(C)C(=S)c3cccnc23,ESOL,CCN1c2ccccc2N(C)C(=S)c2cccnc21,0,0
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,ESOL,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,0,0
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,ESOL,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1,0,0
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,ESOL,O=CNC(N1C=CN(C(NC=O)C(Cl)(Cl)Cl)C=C1)C(Cl)(Cl)Cl,0,0
COc2c1occc1cc3ccc(=O)oc23,ESOL,COc1c2occc2cc2ccc(=O)oc12,0,1
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,ESOL,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,0,1
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,ESOL,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,0,1
c1ccc(cc1)c2ccc(cc2)c3ccccc3,ESOL,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0,1
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),ESOL,CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O,0,0
c1ccc2c(c1)sc3ccccc23,ESOL,c1ccc2c(c1)sc1ccccc12,0,1
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,ESOL,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,0,1
OC(C(=O)c1ccccc1)c2ccccc2,ESOL,O=C(c1ccccc1)C(O)c1ccccc1,0,1
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,ESOL,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,0,0
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,ESOL,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,0,0
O=Cc2ccc1OCOc1c2,ESOL,O=Cc1ccc2c(c1)OCO2,0,1
