raw_smiles,dataset,max_tanimoto_to_corpus_full,n_corpus_identical,n_corpus_neardup_0p95
c1cc2ccc3cccc4ccc(c1)c2c34,ESOL,1.0000,3,0
Cc1cc(=O)[nH]c(=S)[nH]1,ESOL,0.9524,0,2
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,ESOL,1.0000,2,1
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,ESOL,0.9565,0,4
C1=Cc2cccc3cccc1c23,ESOL,1.0000,1,0
CC1CO1,ESOL,0.9000,0,0
CCN2c1ccccc1N(C)C(=S)c3cccnc23,ESOL,0.5909,0,0
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,ESOL,1.0000,3,3
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,ESOL,0.7568,0,0
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,ESOL,0.5161,0,0
COc2c1occc1cc3ccc(=O)oc23,ESOL,1.0000,1,0
CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,ESOL,0.9767,0,1
Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,ESOL,1.0000,3,4
c1ccc(cc1)c2ccc(cc2)c3ccccc3,ESOL,1.0000,1,0
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),ESOL,1.0000,2,0
c1ccc2c(c1)sc3ccccc23,ESOL,0.9333,0,0
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,ESOL,1.0000,5,0
OC(C(=O)c1ccccc1)c2ccccc2,ESOL,0.9545,0,4
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,ESOL,1.0000,4,0
CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,ESOL,1.0000,4,0
O=Cc2ccc1OCOc1c2,ESOL,0.7407,0,0
CC1CCCCC1NC(=O)Nc2ccccc2,ESOL,0.8205,0,0
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,ESOL,0.5625,0,0
C1N(C(=O)NCC(C)C)C(=O)NC1,ESOL,0.6111,0,0
CNC(=O)Oc1ccccc1C2OCCO2,ESOL,0.6744,0,0
CC1=C(CCCO1)C(=O)Nc2ccccc2,ESOL,0.6078,0,0
Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,ESOL,1.0000,1,0
C1Cc2cccc3cccc1c23,ESOL,0.8889,0,0
c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,ESOL,0.9000,0,0
Nc1cc(nc(N)n1=O)N2CCCCC2,ESOL,0.6053,0,0
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,ESOL,0.7292,0,0
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,ESOL,1.0000,1,0
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,ESOL,1.0000,1,0
c2ccc1[nH]nnc1c2,ESOL,0.7037,0,0
c2ccc1ocnc1c2,ESOL,1.0000,1,1
CCOC(=O)c1cncn1C(C)c2ccccc2,ESOL,1.0000,1,2
CCN2c1ccccc1N(C)C(=O)c3ccccc23,ESOL,0.7000,0,0
