arm,descriptor,group,r2,alpha
ECFP4 (2048 bit),MaxAbsEStateIndex,EState,0.8047526934014932,1000.0
ECFP4 (2048 bit),MaxEStateIndex,EState,0.8047521419197831,1000.0
ECFP4 (2048 bit),MinAbsEStateIndex,EState,0.32710782443354924,1000.0
ECFP4 (2048 bit),MinEStateIndex,EState,0.8021657057757969,1000.0
ECFP4 (2048 bit),qed,Simple counts / bulk,0.4751429370854101,1000.0
ECFP4 (2048 bit),SPS,Information (Ipc/SPS),0.788803982820277,1000.0
ECFP4 (2048 bit),MolWt,Simple counts / bulk,0.7175189463725813,1000.0
ECFP4 (2048 bit),HeavyAtomMolWt,Simple counts / bulk,0.7182082855802955,1000.0
ECFP4 (2048 bit),ExactMolWt,Simple counts / bulk,0.7176039671226936,1000.0
ECFP4 (2048 bit),NumValenceElectrons,Simple counts / bulk,0.7241352707281197,1000.0
ECFP4 (2048 bit),NumRadicalElectrons,Simple counts / bulk,0.269495286745257,1000.0
ECFP4 (2048 bit),MaxPartialCharge,Simple counts / bulk,0.6709834268683433,1000.0
ECFP4 (2048 bit),MinPartialCharge,Simple counts / bulk,0.4687429602803972,1000.0
ECFP4 (2048 bit),MaxAbsPartialCharge,Simple counts / bulk,0.4654914832353382,1000.0
ECFP4 (2048 bit),MinAbsPartialCharge,Simple counts / bulk,0.6925805133414595,1000.0
ECFP4 (2048 bit),FpDensityMorgan1,Simple counts / bulk,0.5277326199019245,1000.0
ECFP4 (2048 bit),FpDensityMorgan2,Simple counts / bulk,0.405068830582514,1000.0
ECFP4 (2048 bit),FpDensityMorgan3,Simple counts / bulk,0.3682105399693908,1000.0
ECFP4 (2048 bit),BCUT2D_MWHI,BCUT (eigenvalue),0.6294198116401671,1000.0
ECFP4 (2048 bit),BCUT2D_MWLOW,BCUT (eigenvalue),0.5980048512859292,1000.0
ECFP4 (2048 bit),BCUT2D_CHGHI,BCUT (eigenvalue),0.7531881268412539,1000.0
ECFP4 (2048 bit),BCUT2D_CHGLO,BCUT (eigenvalue),0.6643809758496686,1000.0
ECFP4 (2048 bit),BCUT2D_LOGPHI,BCUT (eigenvalue),0.686444855843549,1000.0
ECFP4 (2048 bit),BCUT2D_LOGPLOW,BCUT (eigenvalue),0.6650037763316514,1000.0
ECFP4 (2048 bit),BCUT2D_MRHI,BCUT (eigenvalue),0.7097910677755899,1000.0
ECFP4 (2048 bit),BCUT2D_MRLOW,BCUT (eigenvalue),0.615977500091397,1000.0
ECFP4 (2048 bit),AvgIpc,Information (Ipc/SPS),0.7297929584429375,1000.0
ECFP4 (2048 bit),BalabanJ,Simple counts / bulk,0.5688978519741414,1000.0
ECFP4 (2048 bit),BertzCT,Simple counts / bulk,0.753914427154813,1000.0
ECFP4 (2048 bit),Chi0,Chi (connectivity),0.7233342436491789,1000.0
ECFP4 (2048 bit),Chi0n,Chi (connectivity),0.7276872339596034,1000.0
ECFP4 (2048 bit),Chi0v,Chi (connectivity),0.7195145565678956,1000.0
ECFP4 (2048 bit),Chi1,Chi (connectivity),0.7304913586976566,1000.0
ECFP4 (2048 bit),Chi1n,Chi (connectivity),0.7345517868218943,1000.0
ECFP4 (2048 bit),Chi1v,Chi (connectivity),0.7094574049538114,1000.0
ECFP4 (2048 bit),Chi2n,Chi (connectivity),0.7463570516669493,1000.0
ECFP4 (2048 bit),Chi2v,Chi (connectivity),0.693953600053097,1000.0
ECFP4 (2048 bit),Chi3n,Chi (connectivity),0.7771091265368593,1000.0
ECFP4 (2048 bit),Chi3v,Chi (connectivity),0.7044462970480245,1000.0
ECFP4 (2048 bit),Chi4n,Chi (connectivity),0.7844720235854186,1000.0
ECFP4 (2048 bit),Chi4v,Chi (connectivity),0.6914791450616915,1000.0
ECFP4 (2048 bit),HallKierAlpha,Kappa (shape),0.7703609173434002,1000.0
ECFP4 (2048 bit),Ipc,Information (Ipc/SPS),-0.26377465819086554,1000.0
ECFP4 (2048 bit),Kappa1,Kappa (shape),0.700855648272613,1000.0
ECFP4 (2048 bit),Kappa2,Kappa (shape),0.6707759529191433,1000.0
ECFP4 (2048 bit),Kappa3,Kappa (shape),-1.4295054751087304,1000.0
ECFP4 (2048 bit),LabuteASA,Simple counts / bulk,0.7255548708768138,1000.0
ECFP4 (2048 bit),PEOE_VSA1,PEOE/SMR/SlogP VSA,0.7271184177639776,1000.0
ECFP4 (2048 bit),PEOE_VSA10,PEOE/SMR/SlogP VSA,0.5945258583920112,1000.0
ECFP4 (2048 bit),PEOE_VSA11,PEOE/SMR/SlogP VSA,0.5290506552872617,1000.0
ECFP4 (2048 bit),PEOE_VSA12,PEOE/SMR/SlogP VSA,0.4690865940463965,1000.0
ECFP4 (2048 bit),PEOE_VSA13,PEOE/SMR/SlogP VSA,0.5285975247310792,1000.0
ECFP4 (2048 bit),PEOE_VSA14,PEOE/SMR/SlogP VSA,0.56910276063987,1000.0
ECFP4 (2048 bit),PEOE_VSA2,PEOE/SMR/SlogP VSA,0.6337827222910604,1000.0
ECFP4 (2048 bit),PEOE_VSA3,PEOE/SMR/SlogP VSA,0.5191988511684753,1000.0
ECFP4 (2048 bit),PEOE_VSA4,PEOE/SMR/SlogP VSA,0.5781578500810414,1000.0
ECFP4 (2048 bit),PEOE_VSA5,PEOE/SMR/SlogP VSA,0.47753120011213246,1000.0
ECFP4 (2048 bit),PEOE_VSA6,PEOE/SMR/SlogP VSA,0.6080446614202114,1000.0
ECFP4 (2048 bit),PEOE_VSA7,PEOE/SMR/SlogP VSA,0.6767818089694435,1000.0
ECFP4 (2048 bit),PEOE_VSA8,PEOE/SMR/SlogP VSA,0.5803335162811138,1000.0
ECFP4 (2048 bit),PEOE_VSA9,PEOE/SMR/SlogP VSA,0.5532111054311142,1000.0
ECFP4 (2048 bit),SMR_VSA1,PEOE/SMR/SlogP VSA,0.721801966090653,1000.0
ECFP4 (2048 bit),SMR_VSA10,PEOE/SMR/SlogP VSA,0.7389366351859825,1000.0
ECFP4 (2048 bit),SMR_VSA2,PEOE/SMR/SlogP VSA,0.786472532439427,1000.0
ECFP4 (2048 bit),SMR_VSA3,PEOE/SMR/SlogP VSA,0.7472216217349494,1000.0
ECFP4 (2048 bit),SMR_VSA4,PEOE/SMR/SlogP VSA,0.7110287397608828,1000.0
ECFP4 (2048 bit),SMR_VSA5,PEOE/SMR/SlogP VSA,0.7523777790923265,1000.0
ECFP4 (2048 bit),SMR_VSA6,PEOE/SMR/SlogP VSA,0.6933393506474455,1000.0
ECFP4 (2048 bit),SMR_VSA7,PEOE/SMR/SlogP VSA,0.750935314458947,1000.0
ECFP4 (2048 bit),SMR_VSA9,PEOE/SMR/SlogP VSA,0.7394078736852305,1000.0
ECFP4 (2048 bit),SlogP_VSA1,PEOE/SMR/SlogP VSA,0.6768310617395169,1000.0
ECFP4 (2048 bit),SlogP_VSA10,PEOE/SMR/SlogP VSA,0.7454291696713462,1000.0
ECFP4 (2048 bit),SlogP_VSA11,PEOE/SMR/SlogP VSA,0.8138026493564778,1000.0
ECFP4 (2048 bit),SlogP_VSA12,PEOE/SMR/SlogP VSA,0.6944182580723285,1000.0
ECFP4 (2048 bit),SlogP_VSA2,PEOE/SMR/SlogP VSA,0.7131794153572122,1000.0
ECFP4 (2048 bit),SlogP_VSA3,PEOE/SMR/SlogP VSA,0.6656633048484097,1000.0
ECFP4 (2048 bit),SlogP_VSA4,PEOE/SMR/SlogP VSA,0.7204122993428406,1000.0
ECFP4 (2048 bit),SlogP_VSA5,PEOE/SMR/SlogP VSA,0.7132110619976104,1000.0
ECFP4 (2048 bit),SlogP_VSA6,PEOE/SMR/SlogP VSA,0.7453872119828837,1000.0
ECFP4 (2048 bit),SlogP_VSA7,PEOE/SMR/SlogP VSA,0.6553566261001458,1000.0
ECFP4 (2048 bit),SlogP_VSA8,PEOE/SMR/SlogP VSA,0.7716274942435326,1000.0
ECFP4 (2048 bit),TPSA,Simple counts / bulk,0.7301572778584142,1000.0
ECFP4 (2048 bit),EState_VSA1,EState,0.7008053707951213,1000.0
ECFP4 (2048 bit),EState_VSA10,EState,0.7338936971428914,1000.0
ECFP4 (2048 bit),EState_VSA11,EState,-0.4046728047293007,1000.0
ECFP4 (2048 bit),EState_VSA2,EState,0.4997163501536408,1000.0
