dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold0,787,0.5251538157463074,5.0
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold0,787,0.5160413980484009,7.9
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold0,787,0.5429890155792236,9.1
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold0,787,0.5200331211090088,9.1
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold1,819,0.47893840074539185,11.1
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold1,819,0.4764406979084015,13.5
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold1,819,0.4931817352771759,15.1
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold1,819,0.4754679203033447,15.1
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold2,819,0.4564196467399597,17.8
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold2,819,0.4554062783718109,19.2
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold2,819,0.46340686082839966,21.4
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold2,819,0.4484962224960327,21.4
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold3,819,0.42182430624961853,23.7
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold3,819,0.4197525382041931,26.2
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold3,819,0.41908377408981323,29.0
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold3,819,0.41048237681388855,29.0
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold4,819,0.4464612901210785,30.6
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold4,819,0.44234728813171387,33.3
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold4,819,0.4289117157459259,34.4
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold4,819,0.4325665831565857,34.4
ESOL,regression,encoder,mean,zscore,xgb,rmse,MEAN,1128,0.4574092447757721,34.4
ESOL,regression,encoder,mean,zscore,xgb,rmse,STD,1128,0.03780633911927272,34.4
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold0,1468,0.9332142857142857,11.2
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold0,1468,1.0,11.2
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold0,1468,0.9399675324675325,11.7
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold0,1468,1.0,11.7
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold0,1468,0.9395454545454545,12.4
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold0,1468,1.0,12.4
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold0,1468,0.9399025974025974,12.4
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold0,1468,1.0,12.4
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold1,1468,0.9390308730320998,12.9
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold1,1468,1.0,12.9
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold1,1468,0.9384583929666734,13.5
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold1,1468,1.0,13.5
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold1,1468,0.9344101410754446,13.9
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold1,1468,1.0,13.9
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold1,1468,0.9384175015334288,13.9
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold1,1468,1.0,13.9
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold2,1468,0.9510714285714286,14.4
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold2,1468,1.0,14.4
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold2,1468,0.9533441558441559,14.8
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold2,1468,1.0,14.8
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold2,1468,0.9509090909090909,15.3
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold2,1468,1.0,15.3
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold2,1468,0.9524350649350649,15.3
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold2,1468,1.0,15.3
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold3,1468,0.9595987654320988,15.8
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold3,1468,1.0,15.8
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold3,1468,0.9540740740740741,16.3
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold3,1468,1.0,16.3
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold3,1468,0.9599691358024691,16.7
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold3,1468,1.0,16.7
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold3,1468,0.9592901234567902,16.7
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold3,1468,1.0,16.7
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold4,1469,0.9238161283931049,17.3
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold4,1469,1.0,17.3
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold4,1469,0.9257314576315964,17.8
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold4,1469,1.0,17.8
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold4,1469,0.9280100389670431,18.4
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold4,1469,1.0,18.4
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold4,1469,0.9288686348325738,18.4
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold4,1469,1.0,18.4
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,MEAN,2039,0.9437827844320911,18.4
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,STD,2039,0.010785300104980007,18.4
BBBP,classification,encoder,mean,zscore,xgb,nef1,MEAN,2039,1.0,18.4
BBBP,classification,encoder,mean,zscore,xgb,nef1,STD,2039,0.0,18.4
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold0,1089,0.8371421066456527,6.9
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold0,1089,1.0,6.9
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold0,1089,0.8292181069958848,7.6
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold0,1089,1.0,7.6
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold0,1089,0.824446195604588,8.3
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold0,1089,1.0,8.3
BACE,classification,encoder,mean,zscore,xgb,roc_auc,fold0,1089,0.8339024603800017,8.3
BACE,classification,encoder,mean,zscore,xgb,nef1,fold0,1089,1.0,8.3
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold1,1089,0.7860674157303371,8.8
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold1,1089,0.75,8.8
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold1,1089,0.7915505617977528,9.2
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold1,1089,1.0,9.2
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold1,1089,0.7975280898876403,9.8
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold1,1089,1.0,9.8
BACE,classification,encoder,mean,zscore,xgb,roc_auc,fold1,1089,0.7991011235955057,9.8
BACE,classification,encoder,mean,zscore,xgb,nef1,fold1,1089,0.75,9.8
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold2,1089,0.7791102077687444,10.2
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold2,1089,1.0,10.2
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold2,1089,0.7935862691960253,10.6
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold2,1089,0.75,10.6
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold2,1089,0.7894308943089431,11.0
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold2,1089,1.0,11.0
BACE,classification,encoder,mean,zscore,xgb,roc_auc,fold2,1089,0.7929990966576332,11.0
BACE,classification,encoder,mean,zscore,xgb,nef1,fold2,1089,0.75,11.0
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold3,1090,0.8562177877626537,11.7
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold3,1090,1.0,11.7
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold3,1090,0.8774062816616008,12.2
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold3,1090,1.0,12.2
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold3,1090,0.8591691995947315,12.6
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold3,1090,1.0,12.6
BACE,classification,encoder,mean,zscore,xgb,roc_auc,fold3,1090,0.8690366063169023,12.6
BACE,classification,encoder,mean,zscore,xgb,nef1,fold3,1090,1.0,12.6
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold4,1090,0.8317901234567902,13.3
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold4,1090,0.25,13.3
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold4,1090,0.8326719576719577,13.8
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold4,1090,1.0,13.8
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold4,1090,0.8327601410934745,14.5
BACE,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold4,1090,1.0,14.5
BACE,classification,encoder,mean,zscore,xgb,roc_auc,fold4,1090,0.8376543209876542,14.5
BACE,classification,encoder,mean,zscore,xgb,nef1,fold4,1090,0.75,14.5
BACE,classification,encoder,mean,zscore,xgb,roc_auc,MEAN,1513,0.8265387215875395,14.5
BACE,classification,encoder,mean,zscore,xgb,roc_auc,STD,1513,0.027790572608382497,14.5
BACE,classification,encoder,mean,zscore,xgb,nef1,MEAN,1513,0.85,14.5
BACE,classification,encoder,mean,zscore,xgb,nef1,STD,1513,0.1224744871391589,14.5
