dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold0,787,0.7305268049240112,4.0
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold0,787,0.7034018635749817,6.3
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold0,787,0.7248386144638062,8.8
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold0,787,0.710791289806366,8.8
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold1,819,0.6991998553276062,11.2
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold1,819,0.642479658126831,13.5
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold1,819,0.6656231880187988,15.5
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold1,819,0.6579290628433228,15.5
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold2,819,0.6692845225334167,18.1
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold2,819,0.6576890349388123,19.9
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold2,819,0.6582326889038086,22.4
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold2,819,0.6525599360466003,22.4
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold3,819,0.5989771485328674,24.6
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold3,819,0.6135115027427673,26.4
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold3,819,0.6245172619819641,27.6
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold3,819,0.6019182205200195,27.6
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s0_fold4,819,0.5516787767410278,30.1
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s1_fold4,819,0.5466123223304749,32.6
ESOL,regression,encoder,mean,zscore,xgb,rmse_cell,s2_fold4,819,0.5801782608032227,33.9
ESOL,regression,encoder,mean,zscore,xgb,rmse,fold4,819,0.5471206903457642,33.9
ESOL,regression,encoder,mean,zscore,xgb,rmse,MEAN,1128,0.6340638399124146,33.9
ESOL,regression,encoder,mean,zscore,xgb,rmse,STD,1128,0.05548190355001436,33.9
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold0,1468,0.951948051948052,11.1
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold0,1468,1.0,11.1
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold0,1468,0.9407142857142856,11.5
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold0,1468,1.0,11.5
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold0,1468,0.9503571428571429,12.0
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold0,1468,1.0,12.0
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold0,1468,0.9497077922077922,12.0
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold0,1468,1.0,12.0
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold1,1468,0.9367409527703946,12.5
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold1,1468,1.0,12.5
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold1,1468,0.9434062563892865,13.0
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold1,1468,1.0,13.0
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold1,1468,0.9344919239419341,13.6
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold1,1468,1.0,13.6
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold1,1468,0.9413616847270496,13.6
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold1,1468,1.0,13.6
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold2,1468,0.956948051948052,14.1
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold2,1468,1.0,14.1
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold2,1468,0.9612012987012987,14.7
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold2,1468,1.0,14.7
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold2,1468,0.9622077922077922,15.2
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold2,1468,1.0,15.2
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold2,1468,0.9615909090909092,15.2
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold2,1468,1.0,15.2
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold3,1468,0.9423456790123458,15.7
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold3,1468,1.0,15.7
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold3,1468,0.943395061728395,16.1
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold3,1468,1.0,16.1
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold3,1468,0.9442283950617284,16.5
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold3,1468,1.0,16.5
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold3,1468,0.9451234567901236,16.5
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold3,1468,1.0,16.5
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold4,1469,0.9421108249124892,17.0
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s0_fold4,1469,1.0,17.0
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s1_fold4,1469,0.9447196354269863,17.5
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s1_fold4,1469,1.0,17.5
BBBP,classification,encoder,mean,zscore,xgb,roc_auc_cell,s2_fold4,1469,0.9441912687405059,17.9
BBBP,classification,encoder,mean,zscore,xgb,nef1_cell,s2_fold4,1469,1.0,17.9
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,fold4,1469,0.9451819562776567,17.9
BBBP,classification,encoder,mean,zscore,xgb,nef1,fold4,1469,1.0,17.9
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,MEAN,2039,0.9485931598187063,17.9
BBBP,classification,encoder,mean,zscore,xgb,roc_auc,STD,2039,0.007016455974523411,18.0
BBBP,classification,encoder,mean,zscore,xgb,nef1,MEAN,2039,1.0,18.0
BBBP,classification,encoder,mean,zscore,xgb,nef1,STD,2039,0.0,18.0
BACE,classification,encoder,mean,zscore,xgb,roc_auc_cell,s0_fold0,1089,0.8664740390508713,6.5
