arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
random,HIV,classification,0.05,5,1645,0,0,roc_auc,test,0.7038046312211514
random,HIV,classification,0.05,5,1645,0,0,roc_auc,train,0.9098247322297955
random,HIV,classification,0.05,5,1645,0,0,nef1,test,0.23809523809523808
random,HIV,classification,0.05,5,1645,0,1,roc_auc,test,0.7049846462851735
random,HIV,classification,0.05,5,1645,0,1,roc_auc,train,0.941966893865628
random,HIV,classification,0.05,5,1645,0,1,nef1,test,0.2857142857142857
random,HIV,classification,0.05,5,1645,0,2,roc_auc,test,0.699339500569729
random,HIV,classification,0.05,5,1645,0,2,roc_auc,train,0.8894547224926972
random,HIV,classification,0.05,5,1645,0,2,nef1,test,0.2619047619047619
random,HIV,classification,0.05,5,1645,0,3,roc_auc,test,0.7019525290175554
random,HIV,classification,0.05,5,1645,0,3,roc_auc,train,0.927176241480039
random,HIV,classification,0.05,5,1645,0,3,nef1,test,0.2857142857142857
random,HIV,classification,0.05,5,1645,0,4,roc_auc,test,0.7002742424535043
random,HIV,classification,0.05,5,1645,0,4,roc_auc,train,0.9027945472249269
random,HIV,classification,0.05,5,1645,0,4,nef1,test,0.23809523809523808
random,HIV,classification,0.05,5,1645,1,0,roc_auc,test,0.6472933042353077
random,HIV,classification,0.05,5,1645,1,0,roc_auc,train,0.946377799415774
random,HIV,classification,0.05,5,1645,1,0,nef1,test,0.4523809523809524
random,HIV,classification,0.05,5,1645,1,1,roc_auc,test,0.6752467216439096
random,HIV,classification,0.05,5,1645,1,1,roc_auc,train,0.8872444011684518
random,HIV,classification,0.05,5,1645,1,1,nef1,test,0.35714285714285715
random,HIV,classification,0.05,5,1645,1,2,roc_auc,test,0.6475057455725294
random,HIV,classification,0.05,5,1645,1,2,roc_auc,train,0.8902142161635833
random,HIV,classification,0.05,5,1645,1,2,nef1,test,0.3333333333333333
random,HIV,classification,0.05,5,1645,1,3,roc_auc,test,0.6549701616485448
random,HIV,classification,0.05,5,1645,1,3,roc_auc,train,0.9096299902629016
random,HIV,classification,0.05,5,1645,1,3,nef1,test,0.4523809523809524
random,HIV,classification,0.05,5,1645,1,4,roc_auc,test,0.6824793835338653
random,HIV,classification,0.05,5,1645,1,4,roc_auc,train,0.8424829600778968
random,HIV,classification,0.05,5,1645,1,4,nef1,test,0.42857142857142855
random,HIV,classification,0.05,5,1645,2,0,roc_auc,test,0.6937001487089359
random,HIV,classification,0.05,5,1645,2,0,roc_auc,train,0.9193070838304829
random,HIV,classification,0.05,5,1645,2,0,nef1,test,0.23809523809523808
random,HIV,classification,0.05,5,1645,2,1,roc_auc,test,0.6912049286390235
random,HIV,classification,0.05,5,1645,2,1,roc_auc,train,0.861151619603164
random,HIV,classification,0.05,5,1645,2,1,nef1,test,0.11904761904761904
random,HIV,classification,0.05,5,1645,2,2,roc_auc,test,0.6890090577261052
random,HIV,classification,0.05,5,1645,2,2,roc_auc,train,0.9129877590702197
random,HIV,classification,0.05,5,1645,2,2,nef1,test,0.14285714285714285
random,HIV,classification,0.05,5,1645,2,3,roc_auc,test,0.6825566349292185
random,HIV,classification,0.05,5,1645,2,3,roc_auc,train,0.9241570551062795
random,HIV,classification,0.05,5,1645,2,3,nef1,test,0.19047619047619047
random,HIV,classification,0.05,5,1645,2,4,roc_auc,test,0.6780857104231446
random,HIV,classification,0.05,5,1645,2,4,roc_auc,train,0.934376242874188
random,HIV,classification,0.05,5,1645,2,4,nef1,test,0.07142857142857142
random,HIV,classification,0.1,10,3290,0,0,roc_auc,test,0.7202282778732689
random,HIV,classification,0.1,10,3290,0,0,roc_auc,train,0.9215683777229841
