arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
e2e,QM7,regression,0.05,5,274,0,0,rmse,test,198.44107055664065
e2e,QM7,regression,0.05,5,274,0,1,rmse,test,200.73760986328125
e2e,QM7,regression,0.05,5,274,0,2,rmse,test,203.0677795410156
e2e,QM7,regression,0.05,5,274,0,3,rmse,test,200.7198638916016
e2e,QM7,regression,0.05,5,274,0,4,rmse,test,202.32095336914065
e2e,QM7,regression,0.05,5,274,0,0,rmse,train,233.17518615722656
e2e,QM7,regression,0.05,5,274,0,1,rmse,train,230.76583862304688
e2e,QM7,regression,0.05,5,274,0,2,rmse,train,228.72398376464844
e2e,QM7,regression,0.05,5,274,0,3,rmse,train,236.840576171875
e2e,QM7,regression,0.05,5,274,0,4,rmse,train,228.1026306152344
e2e,QM7,regression,0.05,5,274,1,0,rmse,test,198.64242553710935
e2e,QM7,regression,0.05,5,274,1,1,rmse,test,199.6413116455078
e2e,QM7,regression,0.05,5,274,1,2,rmse,test,198.5663146972656
e2e,QM7,regression,0.05,5,274,1,3,rmse,test,201.11178588867188
e2e,QM7,regression,0.05,5,274,1,4,rmse,test,199.80638122558597
e2e,QM7,regression,0.05,5,274,1,0,rmse,train,224.4335479736328
e2e,QM7,regression,0.05,5,274,1,1,rmse,train,222.8834686279297
e2e,QM7,regression,0.05,5,274,1,2,rmse,train,225.34890747070312
e2e,QM7,regression,0.05,5,274,1,3,rmse,train,223.4768829345703
e2e,QM7,regression,0.05,5,274,1,4,rmse,train,226.94532775878903
e2e,QM7,regression,0.05,5,274,2,0,rmse,test,198.5954132080078
e2e,QM7,regression,0.05,5,274,2,1,rmse,test,198.5013732910156
e2e,QM7,regression,0.05,5,274,2,2,rmse,test,199.88427734375
e2e,QM7,regression,0.05,5,274,2,3,rmse,test,201.21990966796875
e2e,QM7,regression,0.05,5,274,2,4,rmse,test,200.4795684814453
e2e,QM7,regression,0.05,5,274,2,0,rmse,train,217.87744140625
e2e,QM7,regression,0.05,5,274,2,1,rmse,train,216.7038726806641
e2e,QM7,regression,0.05,5,274,2,2,rmse,train,216.49655151367188
e2e,QM7,regression,0.05,5,274,2,3,rmse,train,214.9707489013672
e2e,QM7,regression,0.05,5,274,2,4,rmse,train,214.9291076660156
e2e,QM7,regression,0.1,10,547,0,0,rmse,test,198.625732421875
e2e,QM7,regression,0.1,10,547,0,1,rmse,test,200.1093597412109
e2e,QM7,regression,0.1,10,547,0,2,rmse,test,205.0620880126953
e2e,QM7,regression,0.1,10,547,0,3,rmse,test,202.0959930419922
e2e,QM7,regression,0.1,10,547,0,4,rmse,test,199.4061584472656
e2e,QM7,regression,0.1,10,547,0,0,rmse,train,230.7807159423828
e2e,QM7,regression,0.1,10,547,0,1,rmse,train,225.8468170166016
e2e,QM7,regression,0.1,10,547,0,2,rmse,train,224.9898376464844
e2e,QM7,regression,0.1,10,547,0,3,rmse,train,226.87875366210935
e2e,QM7,regression,0.1,10,547,0,4,rmse,train,227.9663543701172
e2e,QM7,regression,0.1,10,547,1,0,rmse,test,198.5352783203125
e2e,QM7,regression,0.1,10,547,1,1,rmse,test,205.38650512695312
e2e,QM7,regression,0.1,10,547,1,2,rmse,test,201.2357177734375
e2e,QM7,regression,0.1,10,547,1,3,rmse,test,200.68603515625
e2e,QM7,regression,0.1,10,547,1,4,rmse,test,199.4748077392578
e2e,QM7,regression,0.1,10,547,1,0,rmse,train,219.5600128173828
e2e,QM7,regression,0.1,10,547,1,1,rmse,train,213.4217987060547
e2e,QM7,regression,0.1,10,547,1,2,rmse,train,217.9781188964844
e2e,QM7,regression,0.1,10,547,1,3,rmse,train,218.71255493164065
e2e,QM7,regression,0.1,10,547,1,4,rmse,train,218.2046661376953
e2e,QM7,regression,0.1,10,547,2,0,rmse,test,199.27603149414065
e2e,QM7,regression,0.1,10,547,2,1,rmse,test,197.91827392578125
e2e,QM7,regression,0.1,10,547,2,2,rmse,test,200.44190979003903
e2e,QM7,regression,0.1,10,547,2,3,rmse,test,198.7575836181641
e2e,QM7,regression,0.1,10,547,2,4,rmse,test,198.57568359375
e2e,QM7,regression,0.1,10,547,2,0,rmse,train,223.2331085205078
e2e,QM7,regression,0.1,10,547,2,1,rmse,train,222.03195190429688
e2e,QM7,regression,0.1,10,547,2,2,rmse,train,219.1845245361328
e2e,QM7,regression,0.1,10,547,2,3,rmse,train,222.52804565429688
e2e,QM7,regression,0.1,10,547,2,4,rmse,train,222.0389404296875
e2e,QM7,regression,0.25,25,1368,0,0,rmse,test,203.3880615234375
e2e,QM7,regression,0.25,25,1368,0,1,rmse,test,198.6039886474609
e2e,QM7,regression,0.25,25,1368,0,2,rmse,test,200.9423828125
e2e,QM7,regression,0.25,25,1368,0,3,rmse,test,198.9291839599609
e2e,QM7,regression,0.25,25,1368,0,4,rmse,test,200.32151794433597
e2e,QM7,regression,0.25,25,1368,0,0,rmse,train,218.856689453125
e2e,QM7,regression,0.25,25,1368,0,1,rmse,train,222.8494415283203
e2e,QM7,regression,0.25,25,1368,0,2,rmse,train,219.66351318359372
e2e,QM7,regression,0.25,25,1368,0,3,rmse,train,221.4482879638672
e2e,QM7,regression,0.25,25,1368,0,4,rmse,train,222.4656982421875
e2e,QM7,regression,0.25,25,1368,1,0,rmse,test,199.41390991210935
