arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
random,QM7,regression,0.05,5,274,0,0,rmse,test,223.79705810546875
random,QM7,regression,0.05,5,274,0,0,rmse,train,220.76019287109375
random,QM7,regression,0.05,5,274,0,1,rmse,test,229.71826171875
random,QM7,regression,0.05,5,274,0,1,rmse,train,220.37692260742188
random,QM7,regression,0.05,5,274,0,2,rmse,test,242.58921813964844
random,QM7,regression,0.05,5,274,0,2,rmse,train,191.74082946777344
random,QM7,regression,0.05,5,274,0,3,rmse,test,216.6501007080078
random,QM7,regression,0.05,5,274,0,3,rmse,train,212.81954956054688
random,QM7,regression,0.05,5,274,0,4,rmse,test,236.500732421875
random,QM7,regression,0.05,5,274,0,4,rmse,train,198.78982543945312
random,QM7,regression,0.05,5,274,1,0,rmse,test,211.0963897705078
random,QM7,regression,0.05,5,274,1,0,rmse,train,192.57684326171875
random,QM7,regression,0.05,5,274,1,1,rmse,test,209.18081665039062
random,QM7,regression,0.05,5,274,1,1,rmse,train,206.06236267089844
random,QM7,regression,0.05,5,274,1,2,rmse,test,219.9737091064453
random,QM7,regression,0.05,5,274,1,2,rmse,train,220.20220947265625
random,QM7,regression,0.05,5,274,1,3,rmse,test,221.4039764404297
random,QM7,regression,0.05,5,274,1,3,rmse,train,206.33258056640625
random,QM7,regression,0.05,5,274,1,4,rmse,test,227.5448455810547
random,QM7,regression,0.05,5,274,1,4,rmse,train,216.3253173828125
random,QM7,regression,0.05,5,274,2,0,rmse,test,226.51515197753906
random,QM7,regression,0.05,5,274,2,0,rmse,train,206.75033569335938
random,QM7,regression,0.05,5,274,2,1,rmse,test,234.51206970214844
random,QM7,regression,0.05,5,274,2,1,rmse,train,213.2217559814453
random,QM7,regression,0.05,5,274,2,2,rmse,test,238.1971893310547
random,QM7,regression,0.05,5,274,2,2,rmse,train,188.7217559814453
random,QM7,regression,0.05,5,274,2,3,rmse,test,207.74253845214844
