dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,ecfp4,-,none,xgb,rmse,fold0,787,0.9731417298316956,6.5
ESOL,regression,ecfp4,-,none,xgb,rmse,fold1,819,0.7360218167304993,9.3
ESOL,regression,ecfp4,-,none,xgb,rmse,fold2,819,0.6649580597877502,12.8
ESOL,regression,ecfp4,-,none,xgb,rmse,fold3,819,0.5529362559318542,15.4
ESOL,regression,ecfp4,-,none,xgb,rmse,fold4,819,0.5846073031425476,19.2
ESOL,regression,ecfp4,-,none,xgb,rmse,MEAN,1128,0.7023330330848694,19.2
ESOL,regression,ecfp4,-,none,xgb,rmse,STD,1128,0.14969830828727293,19.2
Lipophilicity,regression,ecfp4,-,none,xgb,rmse,fold0,3024,0.7505204081535339,7.9
Lipophilicity,regression,ecfp4,-,none,xgb,rmse,fold1,3024,0.7332724928855896,13.5
Lipophilicity,regression,ecfp4,-,none,xgb,rmse,fold2,3024,0.694828987121582,18.5
Lipophilicity,regression,ecfp4,-,none,xgb,rmse,fold3,3024,0.6854847073554993,23.3
Lipophilicity,regression,ecfp4,-,none,xgb,rmse,fold4,3024,0.6838552355766296,27.9
Lipophilicity,regression,ecfp4,-,none,xgb,rmse,MEAN,4200,0.7095923662185669,27.9
Lipophilicity,regression,ecfp4,-,none,xgb,rmse,STD,4200,0.027193342889376946,27.9
QM7,regression,ecfp4,-,none,xgb,rmse,fold0,4923,0.9347156286239624,3.3
QM7,regression,ecfp4,-,none,xgb,rmse,fold1,4923,0.9651910066604614,4.6
QM7,regression,ecfp4,-,none,xgb,rmse,fold2,4923,0.940071165561676,6.1
QM7,regression,ecfp4,-,none,xgb,rmse,fold3,4924,0.9429789185523987,8.1
QM7,regression,ecfp4,-,none,xgb,rmse,fold4,4924,0.9383018612861633,9.2
QM7,regression,ecfp4,-,none,xgb,rmse,MEAN,6838,0.9442517161369324,9.2
QM7,regression,ecfp4,-,none,xgb,rmse,STD,6838,0.010806374435789889,9.2
BBBP,classification,ecfp4,-,none,xgb,roc_auc,fold0,1468,0.8460714285714286,3.1
BBBP,classification,ecfp4,-,none,xgb,nef1,fold0,1468,1.0,3.1
BBBP,classification,ecfp4,-,none,xgb,roc_auc,fold1,1468,0.838437947250051,4.9
BBBP,classification,ecfp4,-,none,xgb,nef1,fold1,1468,1.0,4.9
BBBP,classification,ecfp4,-,none,xgb,roc_auc,fold2,1468,0.923392857142857,7.7
BBBP,classification,ecfp4,-,none,xgb,nef1,fold2,1468,1.0,7.7
BBBP,classification,ecfp4,-,none,xgb,roc_auc,fold3,1468,0.8955401234567901,9.6
BBBP,classification,ecfp4,-,none,xgb,nef1,fold3,1468,0.8,9.6
BBBP,classification,ecfp4,-,none,xgb,roc_auc,fold4,1469,0.8758338286771019,10.6
BBBP,classification,ecfp4,-,none,xgb,nef1,fold4,1469,1.0,10.6
BBBP,classification,ecfp4,-,none,xgb,roc_auc,MEAN,2039,0.8758552370196456,10.6
BBBP,classification,ecfp4,-,none,xgb,roc_auc,STD,2039,0.03141480338541386,10.6
BBBP,classification,ecfp4,-,none,xgb,nef1,MEAN,2039,0.96,10.6
BBBP,classification,ecfp4,-,none,xgb,nef1,STD,2039,0.07999999999999999,10.6
BACE,classification,ecfp4,-,none,xgb,roc_auc,fold0,1089,0.8844234305227214,3.1
BACE,classification,ecfp4,-,none,xgb,nef1,fold0,1089,1.0,3.1
BACE,classification,ecfp4,-,none,xgb,roc_auc,fold1,1089,0.8522247191011235,4.7
BACE,classification,ecfp4,-,none,xgb,nef1,fold1,1089,1.0,4.7
BACE,classification,ecfp4,-,none,xgb,roc_auc,fold2,1089,0.852393857271906,5.7
BACE,classification,ecfp4,-,none,xgb,nef1,fold2,1089,1.0,5.7
BACE,classification,ecfp4,-,none,xgb,roc_auc,fold3,1090,0.9109510594246951,7.5
BACE,classification,ecfp4,-,none,xgb,nef1,fold3,1090,1.0,7.5
BACE,classification,ecfp4,-,none,xgb,roc_auc,fold4,1090,0.9075176366843034,9.0
BACE,classification,ecfp4,-,none,xgb,nef1,fold4,1090,1.0,9.0
BACE,classification,ecfp4,-,none,xgb,roc_auc,MEAN,1513,0.88150214060095,9.0
BACE,classification,ecfp4,-,none,xgb,roc_auc,STD,1513,0.025522689353592632,9.0
BACE,classification,ecfp4,-,none,xgb,nef1,MEAN,1513,1.0,9.0
BACE,classification,ecfp4,-,none,xgb,nef1,STD,1513,0.0,9.0
Tox21,classification,ecfp4,-,none,xgb,roc_auc,fold0,5633,0.6844544498341517,34.7
Tox21,classification,ecfp4,-,none,xgb,nef1,fold0,5633,0.2864583333333333,34.7
Tox21,classification,ecfp4,-,none,xgb,roc_auc,fold1,5633,0.778209540243481,65.4
Tox21,classification,ecfp4,-,none,xgb,nef1,fold1,5633,0.6197916666666666,65.4
Tox21,classification,ecfp4,-,none,xgb,roc_auc,fold2,5633,0.7854612320384516,88.8
Tox21,classification,ecfp4,-,none,xgb,nef1,fold2,5633,0.5572916666666666,88.8
Tox21,classification,ecfp4,-,none,xgb,roc_auc,fold3,5634,0.7702077107446473,117.1
Tox21,classification,ecfp4,-,none,xgb,nef1,fold3,5634,0.5572916666666666,117.1
Tox21,classification,ecfp4,-,none,xgb,roc_auc,fold4,5634,0.7638156364152087,150.6
Tox21,classification,ecfp4,-,none,xgb,nef1,fold4,5634,0.578125,150.6
Tox21,classification,ecfp4,-,none,xgb,roc_auc,MEAN,7823,0.7564297138551881,150.6
Tox21,classification,ecfp4,-,none,xgb,roc_auc,STD,7823,0.03672060339040143,150.6
Tox21,classification,ecfp4,-,none,xgb,nef1,MEAN,7823,0.5197916666666667,150.6
Tox21,classification,ecfp4,-,none,xgb,nef1,STD,7823,0.11887785514739255,150.6
HIV,classification,ecfp4,-,none,xgb,roc_auc,fold0,29607,0.7808481571164141,32.2
HIV,classification,ecfp4,-,none,xgb,nef1,fold0,29607,0.6144578313253012,32.2
HIV,classification,ecfp4,-,none,xgb,roc_auc,fold1,29607,0.763212607280404,49.7
HIV,classification,ecfp4,-,none,xgb,nef1,fold1,29607,0.6024096385542169,49.7
HIV,classification,ecfp4,-,none,xgb,roc_auc,fold2,29607,0.8568121478612203,60.3
HIV,classification,ecfp4,-,none,xgb,nef1,fold2,29607,0.891566265060241,60.3
HIV,classification,ecfp4,-,none,xgb,roc_auc,fold3,29607,0.7825328117112569,73.1
HIV,classification,ecfp4,-,none,xgb,nef1,fold3,29607,0.7590361445783133,73.1
HIV,classification,ecfp4,-,none,xgb,roc_auc,fold4,29607,0.8107066091931319,91.6
HIV,classification,ecfp4,-,none,xgb,nef1,fold4,29607,0.7831325301204819,91.6
HIV,classification,ecfp4,-,none,xgb,roc_auc,MEAN,41120,0.7988224666324856,91.6
HIV,classification,ecfp4,-,none,xgb,roc_auc,STD,41120,0.03274301976458284,91.6
HIV,classification,ecfp4,-,none,xgb,nef1,MEAN,41120,0.7301204819277108,91.6
HIV,classification,ecfp4,-,none,xgb,nef1,STD,41120,0.10899453376287846,91.6
