dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6498684883117676,4.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6843752861022949,6.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6323761343955994,7.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.692538857460022,7.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7331253886222839,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6784568309783936,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03510756815766723,8.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8243692517280579,25.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8478108048439026,29.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7774640321731567,35.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.783166229724884,40.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.782177209854126,47.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8029975056648254,47.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.028084535975179098,47.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8835633993148804,19.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9083989858627319,25.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8707836270332336,34.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8496283292770386,41.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9915415644645691,48.5
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9007831811904907,48.5
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.04921056314876971,48.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9482142857142857,15.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9193212022081374,16.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,16.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9372727272727273,19.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,19.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.949320987654321,20.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,20.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9281751535565682,22.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,22.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9364608712812078,22.2
