dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6590983271598816,5.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,1.0200228691101074,7.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.616868793964386,8.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6018064022064209,8.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.8328809142112732,11.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.7461354613304139,11.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.1597844154227446,11.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7647987604141235,28.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8209236860275269,35.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7501288652420044,41.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7653307318687439,46.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7643527388572693,53.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7731069564819336,53.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.024578707935214404,53.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8681583404541016,19.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9193899035453796,26.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8573434352874756,35.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.836884617805481,41.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,1.0494660139083862,47.9
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9062484622001648,47.9
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.07660008686561327,47.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9546753246753247,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9417297076262523,19.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,19.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9455519480519481,21.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,21.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9521296296296297,23.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,23.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9463047354864276,25.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,25.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9480782690939165,25.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.004685437369279809,25.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,25.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,25.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8477804045179931,11.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,11.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8101123595505618,12.8
