dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5231167674064636,4.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.42794370651245117,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.37502145767211914,6.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.40604227781295776,7.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.40759533643722534,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.42794390916824343,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.050502286454863446,9.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.6687562465667725,25.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.6579719185829163,32.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.656752347946167,37.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.6621738076210022,44.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.5995689630508423,51.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.6490446567535401,51.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.025091313836146618,51.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8468828201293945,24.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9000375270843506,32.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.851614236831665,40.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8155603408813477,49.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8551134467124939,54.6
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8538416743278503,54.6
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02703524306121806,54.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9380194805194805,21.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,21.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.946105090983439,24.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,24.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9477597402597403,26.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,26.9
