dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9447077922077922,7.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,7.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9459824166837048,10.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,10.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9534090909090908,14.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,14.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9570987654320988,16.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,16.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.945644277128327,18.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,18.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9493684684722028,18.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0049626801607093,18.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,18.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,18.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8736100166360213,6.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,6.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8347415730337078,9.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,9.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8097560975609757,11.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,11.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8842782256288269,13.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,13.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8648148148148148,16.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,16.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8534401455348692,16.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.0273683271184528,16.6
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.95,16.6
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.0999999999999999,16.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29611,0.753897340323582,159.1
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29611,0.5180722891566265,159.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29611,0.7128149224806202,256.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29611,0.6265060240963856,256.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29612,0.8303447437660505,334.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29612,0.7228915662650602,334.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29612,0.7429668628923491,422.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29612,0.6746987951807228,422.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29612,0.7422216951296647,477.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29612,0.6987951807228916,477.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41127,0.7564491129184533,477.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41127,0.0393832676643482,477.9
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41127,0.6481927710843374,477.9
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41127,0.0724496211005923,477.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,5633,0.6937712157661902,33.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,5633,0.3328144078144078,33.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,5633,0.6856127456796001,34.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,5633,0.2626678876678876,34.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,5633,0.6906416756375213,36.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,5633,0.2846153846153845,36.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6985689909680429,36.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.3209096459096459,36.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,5633,0.8126976995410314,38.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,5633,0.6489010989010988,38.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,5633,0.8111757095183778,39.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,5633,0.5893009768009768,39.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,5633,0.8133284408750069,41.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,5633,0.5941697191697192,41.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.8176320868849264,41.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.6352258852258853,41.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,5633,0.8190157876532146,43.1
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,5633,0.6791819291819291,43.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,5633,0.8078639636876054,44.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,5633,0.6278083028083029,44.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,5633,0.8104531805955139,46.0
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,5633,0.6128663003663004,46.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.8189846950033143,46.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.6614621489621489,46.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,5634,0.8097913810602585,47.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,5634,0.5930860805860806,47.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,5634,0.8052306157877979,49.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,5634,0.5950702075702076,49.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,5634,0.8125478778040457,50.9
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,5634,0.5789224664224665,50.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.8140485218439603,51.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.5907814407814408,51.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,5634,0.7883233332715349,52.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,5634,0.5532203907203908,52.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,5634,0.7932730421642321,53.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,5634,0.4768467643467644,53.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,5634,0.7888310919475794,55.3
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,5634,0.6186202686202685,55.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7954449252640111,55.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.5969322344322344,55.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7889358439928509,55.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.0459686646676307,55.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.5610622710622711,55.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.122819822371453,55.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,1.2476452589035034,2.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,1.20811128616333,2.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,1.1261272430419922,3.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,1.1832066774368286,3.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,1.1098235845565796,3.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,1.0698249340057373,3.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,1.0723035335540771,4.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,1.0688738822937012,4.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,1.0164953470230105,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.9551702737808228,4.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.9998394250869752,5.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.9607484340667723,5.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,1.082465410232544,5.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.9419035315513612,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.958623468875885,6.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.9675594568252563,6.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,1.0331010818481443,6.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,1.0467780828475952,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,1.0471296310424805,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,1.0225878953933716,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,1.040595269203186,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.0814514655475736,7.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,194.5665283203125,12.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,197.6902313232422,13.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,203.42849731445312,14.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,193.37124633789065,14.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,210.9167633056641,15.2
