dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9653571428571428,6.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,6.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.94516458801881,9.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,9.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9516233766233768,13.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,13.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9541358024691358,15.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,15.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9487154084934946,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.952999263692392,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0068649183730565,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,17.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8552666141318623,5.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,5.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8284494382022471,7.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,7.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7892050587172539,10.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,10.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.869168759085503,12.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,12.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.867063492063492,14.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,14.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8418306724400717,14.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.0300436460708653,14.3
