dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9551298701298702,7.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,7.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9391944387650788,10.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,10.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9522402597402596,13.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,13.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9503086419753086,15.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,15.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9541311670299188,18.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,18.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9502008755280872,18.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0057455118286169,18.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,18.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,18.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.865817353997023,6.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,6.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8155505617977526,8.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,8.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8371725383920506,11.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,11.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8756442447469274,13.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,13.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8570546737213403,15.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,15.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8502478745310189,15.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.0214875999230265,15.6
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.95,15.6
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.0999999999999999,15.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29611,0.7791079405868904,176.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29611,0.5903614457831325,176.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29611,0.7360585753868185,254.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29611,0.6385542168674698,254.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29612,0.8338870120331336,309.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29612,0.7469879518072289,309.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29612,0.7746208481250471,415.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29612,0.6746987951807228,415.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29612,0.7927324478178366,507.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29612,0.6987951807228916,507.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41127,0.7832813647899453,507.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41127,0.0315362279316845,507.6
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41127,0.6698795180722892,507.6
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41127,0.0531214643013219,507.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,5633,0.743551200168575,32.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,5633,0.3556471306471306,32.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,5633,0.7504326160778229,34.9
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,5633,0.3309218559218559,34.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,5633,0.73998426752931,36.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,5633,0.3574175824175824,36.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.7520142499899886,36.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.3914835164835165,36.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,5633,0.8310116551665742,38.9
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,5633,0.738095238095238,38.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,5633,0.8193223198704723,40.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,5633,0.7000305250305251,40.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,5633,0.827272146264172,42.0
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,5633,0.6810592185592186,42.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.8314815081401048,42.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.7490842490842491,42.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,5633,0.8136863937378233,43.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,5633,0.6658730158730158,43.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,5633,0.8178244282567873,45.1
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,5633,0.6292429792429793,45.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,5633,0.8135614321629053,46.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,5633,0.5887820512820513,46.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.820771772850231,46.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.6728174603174603,46.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,5634,0.8201035331089161,48.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,5634,0.6535103785103785,48.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,5634,0.8116004912863648,50.7
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,5634,0.6086996336996336,50.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,5634,0.8229545136377819,52.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,5634,0.6293040293040294,52.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.8229023756121939,52.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.6656135531135531,52.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,5634,0.7952246213973834,54.2
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,5634,0.6554945054945055,54.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,5634,0.791361560530122,56.0
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,5634,0.6399725274725275,56.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,5634,0.7849552403071319,57.7
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,5634,0.6333485958485958,57.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7951977168784171,57.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.6849969474969475,57.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.8044735246941871,57.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.0288884154015229,57.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.6327991452991453,57.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.1242242484576912,57.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,1.1841319799423218,2.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,1.187619686126709,2.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,1.2271984815597534,3.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,1.1752517223358154,3.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,1.0930311679840088,3.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,1.082240104675293,3.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,1.223912239074707,3.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,1.107414484024048,3.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.943190336227417,4.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.9374598860740662,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.9676634073257446,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.9133742451667786,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.8953457474708557,5.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.904688596725464,5.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.8933628797531128,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.8698239326477051,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.9436984062194824,6.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.9285973906517028,7.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.9187762141227722,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.916658341884613,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.996504545211792,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.1213141446230379,8.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,194.65492248535156,11.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,200.12088012695312,12.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,199.4521942138672,13.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,192.84664916992188,13.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,211.31382751464844,14.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,212.6008148193359,15.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,211.31944274902344,17.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,209.9051818847656,17.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,200.4550018310547,18.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,198.9066467285156,20.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,200.87911987304688,21.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,198.1640625,21.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,194.8474884033203,23.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,196.2393798828125,25.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,195.96481323242188,27.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,192.60511779785156,27.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,228.7071533203125,28.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,226.41964721679688,30.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,222.1506805419922,32.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,223.74896240234375,32.4
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,203.45399475097656,32.4
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,11.93063973175869,32.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,3024,0.887803852558136,14.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,3024,0.865575909614563,15.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,3024,0.8702672123908997,17.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8540581464767456,17.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,3024,1.0050450563430786,19.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,3024,0.9870257377624512,20.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,3024,0.9835079312324524,23.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9715571403503418,23.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,3024,0.867835521697998,25.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,3024,0.8496582508087158,27.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,3024,0.8767496943473816,28.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8487702012062073,28.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,3024,0.9314278960227966,29.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,3024,0.9070524573326112,31.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,3024,0.9126470685005188,33.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8963640332221985,33.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,3024,0.8613155484199524,34.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,3024,0.8436578512191772,36.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,3024,0.8721356391906738,38.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.839941143989563,38.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8821381330490112,38.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.0487455136592911,38.1
