dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9546753246753246,7.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,7.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9479043140462076,9.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,9.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.955974025974026,12.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,12.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.939783950617284,15.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,15.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9570041608876562,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9510683552400996,18.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0064754701282606,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,18.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,18.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8617021276595744,6.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,6.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8206741573033709,8.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,8.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8191508581752485,10.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,10.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8733095458349852,12.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,12.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.858641975308642,14.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,14.5
