dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold0,787,1.9356496334075928,8.9
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold0,787,1.7484638690948486,9.9
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold0,787,1.757730484008789,10.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse,fold0,787,1.8021899461746216,10.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold1,819,0.8431447148323059,11.6
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold1,819,0.8472617268562317,12.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold1,819,0.8657392263412476,14.5
ESOL,regression,chemeleon,-,zscore,mlp,rmse,fold1,819,0.835838794708252,14.5
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold2,819,2.1125681400299072,15.4
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold2,819,1.7356334924697876,16.0
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold2,819,1.3597731590270996,17.4
ESOL,regression,chemeleon,-,zscore,mlp,rmse,fold2,819,1.634679913520813,17.4
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold3,819,1.5914162397384644,18.2
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold3,819,0.8748209476470947,19.2
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold3,819,1.110573410987854,20.0
ESOL,regression,chemeleon,-,zscore,mlp,rmse,fold3,819,1.0954283475875854,20.0
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold4,819,0.8731080889701843,20.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold4,819,0.7987937927246094,21.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold4,819,1.143686294555664,22.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse,fold4,819,0.8394615650177002,22.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse,MEAN,1128,1.2415197134017943,22.7
ESOL,regression,chemeleon,-,zscore,mlp,rmse,STD,1128,0.404103081531113,22.7
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold0,3024,0.7569648623466492,16.8
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold0,3024,0.7742706537246704,23.8
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold0,3024,0.7801239490509033,26.4
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse,fold0,3024,0.7450720071792603,26.4
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold1,3024,0.7409672141075134,33.1
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold1,3024,0.7765296101570129,37.6
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold1,3024,0.8737843632698059,42.3
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse,fold1,3024,0.7169150114059448,42.3
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold2,3024,0.7524033188819885,46.2
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold2,3024,0.7338746786117554,49.6
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold2,3024,0.8526414036750793,52.1
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse,fold2,3024,0.7589540481567383,52.1
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold3,3024,1.317146897315979,54.2
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold3,3024,1.0305835008621216,55.9
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold3,3024,1.3916244506835938,58.9
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse,fold3,3024,1.1930656433105469,58.9
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold4,3024,0.6748707294464111,65.6
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold4,3024,0.6998774409294128,69.7
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold4,3024,0.6583517789840698,76.2
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse,fold4,3024,0.6642868518829346,76.2
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse,MEAN,4200,0.815658712387085,76.2
Lipophilicity,regression,chemeleon,-,zscore,mlp,rmse,STD,4200,0.1914667866981531,76.2
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold0,4923,211.8535919189453,10.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold0,4923,216.82838439941406,13.4
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold0,4923,206.1345977783203,16.4
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold0,4923,205.29058837890625,16.4
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold1,4923,215.9867706298828,19.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold1,4923,219.38043212890625,22.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold1,4923,246.70216369628906,25.3
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold1,4923,214.73904418945312,25.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold2,4923,369.9944763183594,28.5
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold2,4923,529.390869140625,32.0
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold2,4923,404.2508850097656,34.8
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold2,4923,427.6864013671875,34.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold3,4924,262.5265197753906,38.5
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold3,4924,347.675537109375,41.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold3,4924,264.9145812988281,44.1
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold3,4924,282.2073059082031,44.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold4,4924,224.47021484375,47.2
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold4,4924,249.02490234375,50.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold4,4924,251.41847229003906,56.1
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold4,4924,213.95545959472656,56.1
QM7,regression,chemeleon,-,zscore,mlp,rmse,MEAN,6838,268.7757598876953,56.1
QM7,regression,chemeleon,-,zscore,mlp,rmse,STD,6838,84.12918325181698,56.1
BBBP,classification,chemeleon,-,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.8511201298701299,6.2
