dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold0,4923,213.2401580810547,13.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold0,4923,220.3621063232422,17.2
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold0,4923,209.71527099609375,19.9
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold0,4923,208.68072509765625,19.9
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold1,4923,227.8967742919922,22.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold1,4923,225.3394012451172,25.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold1,4923,220.64852905273438,28.9
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold1,4923,216.79153442382812,28.9
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold2,4923,233.92098999023438,31.5
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold2,4923,269.9304504394531,34.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold2,4923,491.1562194824219,37.1
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold2,4923,309.78375244140625,37.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold3,4924,311.86346435546875,40.0
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold3,4924,244.55137634277344,42.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold3,4924,287.96728515625,45.6
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold3,4924,273.25274658203125,45.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold4,4924,218.57803344726562,48.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold4,4924,220.55970764160156,52.4
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold4,4924,215.2008056640625,55.2
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold4,4924,208.56646728515625,55.2
QM7,regression,chemeleon,-,zscore,mlp,rmse,MEAN,6838,243.41504516601563,55.2
QM7,regression,chemeleon,-,zscore,mlp,rmse,STD,6838,41.048267749971416,55.2
