dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s6_fold0,4923,208.7876434326172,13.5
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s7_fold0,4923,220.29989624023438,16.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s8_fold0,4923,216.65350341796875,19.5
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold0,4923,210.0314483642578,19.5
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s6_fold1,4923,217.72311401367188,22.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s7_fold1,4923,249.88816833496094,26.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s8_fold1,4923,216.75816345214844,29.3
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold1,4923,217.94264221191406,29.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s6_fold2,4923,223.940673828125,32.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s7_fold2,4923,469.9140625,35.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s8_fold2,4923,418.45208740234375,37.8
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold2,4923,351.8297119140625,37.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s6_fold3,4924,234.35585021972656,40.4
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s7_fold3,4924,297.8396301269531,43.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s8_fold3,4924,337.4215087890625,46.6
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold3,4924,278.78106689453125,46.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s6_fold4,4924,228.48744201660156,49.5
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s7_fold4,4924,217.1038360595703,52.2
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s8_fold4,4924,275.3731384277344,55.3
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold4,4924,232.25442504882812,55.3
QM7,regression,chemeleon,-,zscore,mlp,rmse,MEAN,6838,258.16785888671876,55.3
QM7,regression,chemeleon,-,zscore,mlp,rmse,STD,6838,52.54357274621073,55.3
