dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5803480744361877,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.4640806019306183,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.4305647611618042,7.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4810582995414734,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4783717691898346,11.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.48688470125198363,11.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.050067517801019264,11.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7764322757720947,34.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.7923429012298584,41.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7640004754066467,50.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7640496492385864,55.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7585545182228088,60.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.771075963973999,60.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.012142412752421875,60.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8391047716140747,30.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8827036023139954,36.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8592772483825684,43.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.835074245929718,52.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9017150402069092,61.5
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8635749816894531,61.5
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.025495575389738262,61.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.937564935064935,23.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,23.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9401758331629523,25.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,25.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9481168831168831,28.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,28.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9589197530864197,30.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,30.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.950597714814081,31.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,31.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9470750238490542,31.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.007639804367659813,31.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,31.9
