dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.8226422667503357,7.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6424309015274048,11.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.687362790107727,14.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.7098410129547119,15.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7232804298400879,18.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.7171114802360534,18.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.05948081360680777,18.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8096351623535156,38.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8691714406013489,49.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8008399605751038,63.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7963719367980957,75.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8152320384979248,86.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8182501077651978,86.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.02629857697444821,86.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.952863872051239,39.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,1.0019762516021729,48.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9674116969108582,57.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.9529482126235962,63.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9465880393981934,69.1
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9643576145172119,69.1
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.020012634223168985,69.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9373051948051949,27.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,27.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8878347986096913,32.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,32.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9308116883116883,37.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,37.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9417592592592593,43.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,43.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9053232943662903,47.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,47.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9206068470704247,47.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.020678453940320442,47.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,47.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,47.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8267664827948515,15.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,15.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7466516853932585,18.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,18.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.71869918699187,22.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,22.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8593454032861988,25.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,25.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7927689594356263,31.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,31.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.788846343580361,31.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.05123368823260394,31.5
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.9,31.5
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.1224744871391589,31.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6328747814448362,103.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.20833333333333334,103.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7523985315726264,128.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.3854166666666667,128.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7448255945970818,154.6
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.4583333333333333,154.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7299468945356596,176.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.3125,176.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.738923552758088,196.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.4583333333333333,196.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7197938709816584,196.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.04407631522139036,196.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.3645833333333333,196.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.09501461875826149,196.7
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.7271226031675408,425.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.39759036144578314,425.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.682273556849828,500.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.3855421686746988,500.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.7621561241258309,572.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.5662650602409639,572.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6851442873969377,663.3
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.5421686746987951,663.3
