dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold0,787,0.6511959433555603,18.3
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold1,819,0.7870761156082153,25.6
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold2,819,0.60337895154953,39.3
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold3,819,0.5918209552764893,57.2
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold4,819,0.640018105506897,74.5
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,MEAN,1128,0.6546980142593384,74.5
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,STD,1128,0.06976947281164529,74.5
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold0,1468,0.9399025974025972,52.9
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold0,1468,1.0,52.9
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold1,1468,0.9250664485790226,103.5
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold1,1468,1.0,103.5
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold2,1468,0.9307142857142858,154.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold2,1468,1.0,154.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold3,1468,0.9415277777777777,206.9
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold3,1468,1.0,206.9
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold4,1469,0.9197047751139291,240.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold4,1469,1.0,240.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,MEAN,2039,0.9313831769175225,240.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,STD,2039,0.0083931757165658,240.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,MEAN,2039,1.0,240.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,STD,2039,0.0,240.8
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold0,1089,0.8483495315646616,35.2
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold0,1089,1.0,35.2
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold1,1089,0.721258426966292,61.4
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold1,1089,1.0,61.4
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold2,1089,0.7586946702800361,94.0
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold2,1089,1.0,94.0
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold3,1090,0.8405356592220607,126.7
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold3,1090,0.75,126.7
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold4,1090,0.806327160493827,160.1
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold4,1090,0.75,160.1
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,MEAN,1513,0.7950330897053756,160.1
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,STD,1513,0.04858778535543137,160.1
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,MEAN,1513,0.9,160.1
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,STD,1513,0.1224744871391589,160.1
Tox21,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold0,5638,0.6884640073210205,199.9
Tox21,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold0,5638,0.28125,199.9
Tox21,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold1,5639,0.7939858757635753,379.7
Tox21,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold1,5639,0.375,379.7
Tox21,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold2,5639,0.7758057423629255,566.1
Tox21,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold2,5639,0.4791666666666667,566.1
Tox21,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold3,5639,0.7587017835971196,752.1
Tox21,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold3,5639,0.390625,752.1
Tox21,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold4,5639,0.7660028256698497,926.6
Tox21,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold4,5639,0.3333333333333333,926.6
Tox21,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,MEAN,7831,0.7565920469428982,926.6
Tox21,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,STD,7831,0.03606080435398418,926.6
Tox21,classification,encoder_finetune,mean,none,linear_e2e,nef1,MEAN,7831,0.371875,926.6
Tox21,classification,encoder_finetune,mean,none,linear_e2e,nef1,STD,7831,0.0656828448768102,926.6
QM7,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold0,4923,0.8402095437049866,106.6
QM7,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold1,4923,0.8996052145957947,210.4
QM7,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold2,4923,0.8516482710838318,314.0
QM7,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold3,4924,0.8354945778846741,417.5
QM7,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold4,4924,0.8491986393928528,520.9
QM7,regression,encoder_finetune,mean,none,linear_e2e,rmse,MEAN,6838,0.855231249332428,520.9
