dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6472437977790833,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6556787490844727,8.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.679290235042572,9.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6155877709388733,11.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7360081672668457,12.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6667617440223694,12.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.04018603922482554,12.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8502850532531738,37.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.852856457233429,42.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7714139819145203,49.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7769665718078613,56.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7886773943901062,67.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8080398917198182,67.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.03598636686211825,67.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.871059238910675,30.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9168298244476318,37.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8724056482315063,46.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8510168790817261,56.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.96866774559021,64.3
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8959958672523498,64.3
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.04222960789996252,64.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9508441558441558,24.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,24.3
