dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.8923912091760791,4.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,0.75,4.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.8883635408458103,5.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,0.75,5.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.8988267227037913,7.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,7.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.9014096839155941,7.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,7.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.8372584269662922,7.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,0.75,7.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.8443595505617977,8.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,1.0,8.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.8493932584269663,9.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,1.0,9.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8471011235955056,9.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,9.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.8166214995483289,10.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1089,1.0,10.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1089,0.7713188798554651,10.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1089,1.0,10.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1089,0.7742999096657633,11.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1089,1.0,11.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8032520325203252,11.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,11.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1090,0.8648077177216863,12.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1090,1.0,12.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1090,0.8796528787278094,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1090,0.75,13.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1090,0.8661732963305581,14.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1090,0.75,14.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8799612351878771,14.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,14.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1090,0.8758818342151674,15.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1090,1.0,15.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1090,0.878615520282187,15.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1090,1.0,15.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1090,0.8841269841269841,16.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1090,1.0,16.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8836860670194003,16.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,16.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8630820284477405,16.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.03467985274441609,16.6
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.9,16.6
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.1224744871391589,16.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,5638,0.696160250023008,18.2
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,5638,0.3894688644688645,18.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,5638,0.69708272940664,22.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,5638,0.35323565323565326,22.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,5638,0.7083994486700833,26.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,5638,0.41620879120879123,26.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5638,0.7064353495304626,26.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5638,0.39325396825396824,26.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,5639,0.8165286965558184,30.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,5639,0.5603021978021979,30.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,5639,0.8166960284434972,35.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,5639,0.5444291819291819,35.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,5639,0.8181378906782552,39.2
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,5639,0.5915140415140415,39.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5639,0.822053349307413,39.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5639,0.5713522588522589,39.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,5639,0.8170253806348239,44.0
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,5639,0.6443556443556443,44.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,5639,0.8113918126411108,49.2
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,5639,0.7132672882672884,49.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,5639,0.8057908889032137,52.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,5639,0.6204947829947831,52.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5639,0.8167944956483483,52.9
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5639,0.6662115662115661,52.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,5639,0.7980860616821627,56.9
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,5639,0.6461691086691087,56.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,5639,0.7909650857809024,60.2
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,5639,0.6041208791208792,60.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,5639,0.7922163156975947,63.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,5639,0.6527319902319902,63.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5639,0.7991145749327293,63.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5639,0.6506715506715507,63.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,5639,0.7970986700307382,67.1
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,5639,0.5713675213675214,67.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,5639,0.7972402402025774,70.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,5639,0.611996336996337,70.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,5639,0.7872382206092542,75.1
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,5639,0.5796398046398047,75.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5639,0.7998173790387954,75.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5639,0.6147588522588522,75.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7831,0.7888430296915497,75.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7831,0.04219283473029724,75.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7831,0.5792496392496391,75.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7831,0.0985709172392094,75.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,196.758056640625,8.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,193.6144256591797,11.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,193.3838653564453,13.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,192.03280639648438,13.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,213.97628784179688,18.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,203.8474884033203,22.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,206.54684448242188,27.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,205.49423217773438,27.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,195.0242919921875,31.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,197.64219665527344,36.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,199.0418701171875,40.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,195.76808166503906,40.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,191.566650390625,43.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,193.08688354492188,47.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,191.55686950683594,51.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,189.62603759765625,51.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,203.40916442871094,54.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,207.10501098632812,57.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,206.42201232910156,59.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,203.83798217773438,59.9
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,197.3518280029297,59.9
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,6.306457364068074,59.9
