dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.4818234443664551,3.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.4895866811275482,4.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.49527791142463684,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.48154833912849426,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.3955661654472351,5.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.38986310362815857,7.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.3908158838748932,8.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.3820311427116394,8.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4156692326068878,10.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.41203901171684265,12.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.41725724935531616,14.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.406528115272522,14.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.4371674954891205,16.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.4315505623817444,17.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.4397660791873932,19.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4242013692855835,19.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.46691396832466125,20.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.4554261267185211,21.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.46559643745422363,23.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4551827013492584,23.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4298983335494995,23.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.035148009315435505,23.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8378035426139832,12.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8403939604759216,18.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8542824387550354,27.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8316837549209595,27.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.8916721940040588,35.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9092536568641663,39.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.8995057344436646,46.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8941774964332581,46.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8582432866096497,53.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8624605536460876,57.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8565161824226379,61.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8523038625717163,61.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8352748155593872,66.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.838050127029419,73.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.829596221446991,78.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8294329047203064,78.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8476303219795227,85.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8495712280273438,89.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8466942310333252,95.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8403514623641968,95.6
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8495898962020874,95.6
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.023696846071929296,95.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9461363636363637,6.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9491233766233766,7.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,7.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9431168831168831,9.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,9.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9466883116883117,9.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,9.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9346145982416683,10.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,10.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9407483132283786,12.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,12.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9364956041709263,14.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,14.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9405847474953998,14.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,14.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9474675324675325,15.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,15.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9528246753246752,16.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,16.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9498376623376623,17.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,17.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9510389610389611,17.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,17.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9533333333333334,18.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,18.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9410493827160493,20.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,20.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9487654320987654,22.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,22.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9502777777777777,22.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,22.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.9400964269202827,23.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,23.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.9299253682055346,24.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,24.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.939204808136847,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,25.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9375866851595007,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,25.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9452352966319901,25.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.00531693998719564,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,25.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.8304439190964014,4.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,1.0,4.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.8490062166185097,6.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,1.0,6.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.8614832326416251,7.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,7.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8576306803257158,7.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,7.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.8421573033707865,8.6
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,1.0,8.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.832808988764045,9.7
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,1.0,9.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.8204044943820226,10.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,0.75,10.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8405393258426966,10.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,10.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.8146341463414635,11.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1089,0.75,11.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1089,0.8212737127371273,12.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1089,1.0,12.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1089,0.814137308039747,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1089,1.0,13.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8220867208672087,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,13.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1090,0.8676269767851637,14.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1090,1.0,14.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1090,0.8762169067441964,15.1
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1090,1.0,15.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1090,0.8830888507114224,16.7
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1090,1.0,16.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8788159111933396,16.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,16.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1090,0.8427248677248678,17.5
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1090,1.0,17.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1090,0.8697971781305114,18.6
