dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.38821229338645935,5.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.38242411613464355,7.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.39098745584487915,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.3812052309513092,10.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4355625808238983,12.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.39567833542823794,12.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.020266446398415374,12.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.6720005869865417,36.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.6759318113327026,49.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.604919970035553,61.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.6563587784767151,75.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.6181116104125977,95.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.645464551448822,95.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.02878591931738394,95.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8439457416534424,43.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9004536867141724,56.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8614311218261719,69.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.84788578748703,81.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8491124510765076,97.6
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8605657577514648,97.6
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.020784516095939752,97.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9323701298701299,36.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,36.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9414025761602944,38.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,38.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9490909090909091,40.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,40.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9260802469135804,42.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,42.7
