dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.5216510891914368,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.4915993809700012,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.47174403071403503,9.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.4889124631881714,9.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.4530896544456482,10.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.49843281507492065,11.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.47144243121147156,12.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.46526917815208435,12.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4068325459957123,13.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.41655662655830383,14.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.41197124123573303,15.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.40418902039527893,15.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.41736891865730286,16.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.443621963262558,17.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.43082088232040405,18.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.41379308700561523,18.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.4388205111026764,20.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.4494077265262604,21.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.43740788102149963,23.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4280545115470886,23.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4400436520576477,23.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.032071402013098695,23.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8486849665641785,12.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8444997668266296,23.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.844048798084259,28.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8402291536331177,28.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9110086560249329,36.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9242414236068726,39.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9078794717788696,46.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9051751494407654,46.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8601852655410767,52.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8616304397583008,56.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8586011528968811,62.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8535493612289429,62.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.822860598564148,66.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8217771649360657,75.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.826043426990509,82.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8160870671272278,82.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8549244999885559,87.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8618181943893433,91.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8501877188682556,97.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8496508598327637,97.0
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8529383182525635,97.0
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02918700006438595,97.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9311038961038961,6.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9296428571428571,7.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,7.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9350974025974026,8.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,8.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9329545454545455,8.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,8.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.928480883254958,9.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,9.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9126150071560007,9.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,9.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9303209977509712,10.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,10.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9250868942956451,10.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,10.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9476298701298701,11.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,11.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9524025974025973,12.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,12.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9496753246753247,13.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,13.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.950422077922078,13.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,13.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9617901234567902,15.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,15.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9549691358024691,19.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,19.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.964320987654321,22.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,22.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9618827160493827,22.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,22.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.9395020143979922,23.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,23.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.938049006010171,25.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,25.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9397331748233274,26.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,26.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9401624727560928,26.2
