dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.45340678095817566,3.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.43266162276268005,4.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.4709310829639435,6.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.4461013674736023,6.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.4431171417236328,7.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.4270617663860321,8.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.46682825684547424,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.4294482469558716,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.3941808044910431,10.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.4004124402999878,11.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.4076055884361267,13.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.3896123468875885,13.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.45325687527656555,15.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.4573346674442291,16.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.4415135681629181,17.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4419901669025421,17.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.40624743700027466,19.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.39273378252983093,21.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.3981351852416992,23.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.3890889585018158,23.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4192482173442841,23.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.025020768402702426,23.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8493582010269165,12.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8472277522087097,17.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8419631719589233,23.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8396746516227722,23.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.8883951902389526,30.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.897239089012146,35.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.888054370880127,42.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8866562247276306,42.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8815389275550842,48.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8518603444099426,55.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.864293098449707,59.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8570969104766846,59.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.846939742565155,65.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8492323160171509,71.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8552943468093872,74.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8382931351661682,74.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8590098023414612,84.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8615155220031738,88.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8538762331008911,96.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8485610485076904,96.1
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8540563941001892,96.1
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.017649404346109426,96.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9305844155844155,6.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9326623376623376,7.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,7.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9325974025974026,8.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,8.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9337337662337662,8.6
