dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5976076126098633,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5586938261985779,8.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5496479868888855,9.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5841765403747559,10.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.724873423576355,11.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6029998779296875,11.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.06331825358947606,11.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8011681437492371,36.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8229842782020569,42.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7673723697662354,47.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.80218505859375,53.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7385104298591614,57.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7864440560340882,57.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.0298701439303135,57.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8787933588027954,21.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.939724862575531,25.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8912972211837769,28.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.9039653539657593,33.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8841503262519836,39.7
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8995862245559693,39.7
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.021769725933221153,39.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9194155844155842,15.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.893886730729912,17.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,17.4
