dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.47538524866104126,4.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.4517308473587036,5.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.38668906688690186,6.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.36582210659980774,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.3846662640571594,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4128587067127228,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.04269125762518234,8.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.6647268533706665,24.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.6739924550056458,30.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.6247693300247192,35.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.6477592587471008,40.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.62529057264328,43.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.6473076939582825,43.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.020042150470190086,43.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8449791073799133,29.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8958445191383362,33.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8510792255401611,38.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.834032416343689,44.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8478285670280457,50.0
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8547527670860291,50.0
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.021329926861557803,50.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9423051948051947,20.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,20.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9377223471682682,22.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,22.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9662987012987012,23.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,23.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9520370370370371,24.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,24.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9294300244369593,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,25.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9455586609492321,25.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.012682621194388736,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,25.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8811400052534805,9.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,9.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7840898876404494,10.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,10.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8206413730803974,11.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.75,11.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.862473018809744,11.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,11.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8634038800705467,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,12.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8423496329709236,12.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.03526576649901635,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.85,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.1224744871391589,12.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.791316914497473,59.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.421875,59.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.8321669063797582,63.9
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.6614583333333334,63.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.823778167632613,70.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.6145833333333334,70.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.8161601231998944,77.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.5989583333333334,77.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.8323737786342192,83.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.5677083333333334,83.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.8191591780687915,83.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.01516144913514434,83.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.5729166666666667,83.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.08135676745736099,83.7
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.7716147727305136,370.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.5783132530120482,370.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.7247223009934874,405.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.6626506024096386,405.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.8330769515901848,427.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.7590361445783133,427.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.7771394918391384,449.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.6506024096385542,449.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.8042735689086086,470.5
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.7590361445783133,470.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.7821654172123866,470.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.03610274873164973,470.5
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.6819277108433736,470.5
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.06925353187084297,470.5
