dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.6673404574394226,4.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.6902656555175781,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.6991578340530396,6.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6736209988594055,6.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.6916351914405823,7.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.6464162468910217,9.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.6479510068893433,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6506128907203674,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.6275312900543213,12.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.6436945796012878,14.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.6106696724891663,15.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6100142598152161,15.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.6790342926979065,16.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.6678144335746765,17.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.7010927796363831,18.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6635274291038513,18.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.791797935962677,20.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.8056910037994385,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.8274059891700745,21.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7971454858779907,21.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6789842128753663,21.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.06291509995650196,21.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.9164881110191345,11.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.9164692759513855,16.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.9011766910552979,23.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9055153727531433,23.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9627805352210999,28.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9582081437110901,33.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9707404971122742,40.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9581860303878784,40.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.9256894588470459,47.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.9379856586456299,50.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.938336193561554,55.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9259194731712341,55.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.9055520296096802,59.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.912660539150238,66.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.919040322303772,88.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.9047254920005798,88.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.9172121286392212,114.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.911821722984314,117.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.9115765690803528,122.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9023020267486572,122.7
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9193296790122986,122.7
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.021200470308868846,122.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9113636363636363,5.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,5.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9167207792207792,6.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,6.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.915064935064935,8.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,8.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9182792207792206,8.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,8.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9060723778368431,9.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,9.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9090574524637088,10.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,10.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9138826415865876,11.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,11.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9132692700879166,11.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,11.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9355194805194804,12.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,12.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.929512987012987,14.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,14.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9379545454545455,15.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,15.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9362012987012988,15.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,15.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9404012345679013,16.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,16.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9517901234567901,18.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,18.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9434567901234568,20.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,20.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9471604938271605,20.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,20.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.910012548708804,21.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,21.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.906479096492966,23.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,23.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9091209299253683,24.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,24.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9102767320520441,24.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,24.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9250374030895282,24.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.014255546997402935,24.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,24.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,24.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.830575256107171,5.0
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,0.75,5.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.8387181507748884,6.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,1.0,6.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.8198056212240609,7.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,7.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8349531564661589,7.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,7.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.692808988764045,9.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,0.5,9.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.6828314606741575,11.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,0.5,11.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.6984719101123595,12.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,1.0,12.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.6968988764044943,12.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.5,12.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.7455284552845528,14.4
