dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.5702370405197144,2.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5318204164505005,3.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5360775589942932,5.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.532463550567627,5.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.7008234262466431,5.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.6852017045021057,7.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.6797120571136475,9.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6784014701843262,9.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.6317445039749146,11.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.6589854955673218,11.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.6891652941703796,12.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6473138332366943,12.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.6084867715835571,13.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.6333634257316589,15.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.6357711553573608,17.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6213140487670898,17.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.6831884384155273,17.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.7065740823745728,19.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.718450665473938,20.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6918432116508484,20.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6342672228813171,20.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.05650630535744499,20.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.9018153548240662,12.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.907133162021637,24.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.9161508083343506,29.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9011831879615784,29.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9701099991798401,35.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9728971719741821,39.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9643723368644714,47.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9622718691825867,47.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.9324818849563599,54.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.9255061745643616,64.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.9395732879638672,69.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9267585277557373,69.5
