dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.5257937908172607,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.50285804271698,9.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5035087466239929,15.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.505089521408081,15.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.48600873351097107,21.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.5088964700698853,25.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.5052416324615479,30.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.49366429448127747,30.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.36217236518859863,34.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.38462987542152405,35.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.37503060698509216,36.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.3616020083427429,36.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.4631257951259613,37.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.4701789915561676,38.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.44929423928260803,40.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4508040249347687,40.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.44338908791542053,41.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.413143515586853,42.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.3915381133556366,43.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.3997933566570282,43.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4421906411647797,43.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.0547212097368718,43.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8481374979019165,9.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8460860848426819,18.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8435472249984741,23.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8377235531806946,23.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.8972963690757751,28.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9003304839134216,33.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.8913688063621521,40.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8907204270362854,40.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8566188216209412,47.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8474686741828918,54.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8483896851539612,59.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8436235785484314,59.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8318008780479431,63.6
