dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.533832848072052,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.7091683149337769,6.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.7037584185600281,7.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6295759081840515,8.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6701754927635193,10.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6493021965026855,10.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.06435436835426406,10.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8076931834220886,30.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.895020067691803,41.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8627244830131531,50.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8364161849021912,57.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8570670485496521,64.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8517841935157776,64.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.028972856839426332,64.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8739050030708313,23.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9242648482322693,28.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8738402724266052,34.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8360239863395691,41.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8649042844772339,46.8
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8745876789093018,46.8
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02845969896901038,46.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9001623376623377,17.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,17.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8794111633612759,20.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,20.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9361038961038961,24.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,24.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9446913580246913,27.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,27.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9130836800739713,31.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,31.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9146904870452346,31.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.02373548389973026,31.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,31.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,31.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.793538219070134,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,12.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7475056179775282,14.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.5,14.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.667750677506775,17.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.25,17.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.6844632395048676,18.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,18.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7305555555555556,21.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,21.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7247626619229721,21.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.045067253614894165,21.4
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.7,21.4
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.291547594742265,21.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.5628653313678793,60.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.08333333333333333,60.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.754018069662817,71.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.2916666666666667,71.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7154299105610785,83.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.40625,83.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7452394133857637,92.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.3020833333333333,92.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.736807287176052,102.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.34375,102.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7028720024307181,102.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.07116472476416882,102.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.28541666666666665,102.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.10877314568505511,102.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.6971219471848359,320.5
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.27710843373493976,320.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.6588217757709284,382.5
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.3373493975903614,382.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.7150583345689081,444.1
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.3493975903614458,444.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6510945650344945,493.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.5301204819277109,493.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7325862827272012,549.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.40963855421686746,549.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.6909365810572735,549.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.031539062621267835,549.0
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.38072289156626504,549.0
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.08573709337184192,549.0
