dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.6673225164413452,3.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.6552394032478333,6.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.6658044457435608,8.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6608946919441223,8.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.6985645294189453,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.6895369291305542,11.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.7032517790794373,12.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.694166362285614,12.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.5897376537322998,13.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.5265792608261108,15.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.5717113018035889,16.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5518010258674622,16.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.5438881516456604,18.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.5454866290092468,19.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.5404717922210693,20.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5381418466567993,20.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.451154500246048,22.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.46197670698165894,23.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.47501081228256226,25.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.453708291053772,25.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.5797424435615539,25.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.08726334932565769,25.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8513401746749878,10.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8727402687072754,13.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8534432649612427,17.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8522809743881226,17.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9161497950553894,21.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9014285802841187,29.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9101505279541016,36.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9038169384002686,36.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8663779497146606,43.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8596043586730957,50.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8725199699401855,54.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8587009310722351,54.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8387627601623535,61.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8367727994918823,70.2
