dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.47970932722091675,4.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6240479350090027,6.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5556783676147461,8.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5209278464317322,9.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7339973449707031,10.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.5828721642494201,10.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.08916662646389896,10.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8672798871994019,23.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9144835472106934,29.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8568794131278992,35.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8371330499649048,41.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8582234978675842,46.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8667998790740967,46.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.02579167820574894,46.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9111104011535645,16.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.974394679069519,23.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9346904158592224,27.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8962502479553223,32.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9767879247665405,40.2
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9386467337608337,40.2
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.032570017250779196,40.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9105844155844156,14.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,14.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9271314659578819,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,18.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9337337662337661,20.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,20.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.927932098765432,22.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,22.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.913810184267882,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,24.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9226383861618755,24.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.008883174809553415,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,24.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7855266614131863,8.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,8.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7085393258426966,9.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.5,9.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7453929539295393,12.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,12.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8107572353640808,13.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,13.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7369047619047618,15.1
