dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.5135973691940308,3.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5012044310569763,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5231055617332458,7.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.503554105758667,7.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.5949718952178955,9.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.6064868569374084,12.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.5919942855834961,13.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5898618102073669,13.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.5870577692985535,15.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.575512170791626,18.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.580969512462616,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5743744373321533,21.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.5398522019386292,23.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.5484488606452942,26.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.5517699122428894,28.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5374638438224792,28.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.6111571192741394,29.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.6310799717903137,30.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.5946016311645508,31.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6022634506225586,31.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.561503529548645,31.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03624159412179704,31.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8849249482154846,9.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8827076554298401,13.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8772199749946594,19.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8731687664985657,19.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9445069432258606,27.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9251292943954468,34.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9282154440879822,40.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9274448752403259,40.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8962565064430237,49.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.89327472448349,55.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.9009475708007812,61.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8918402791023254,61.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8941861391067505,68.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.9016216397285461,76.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8999629020690918,82.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8888018131256104,82.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.9051031470298767,91.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.889091968536377,98.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8781203031539917,104.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8805474638938904,104.6
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8923606395721435,104.6
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.01871747164973544,104.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.905487012987013,6.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9157792207792209,9.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,9.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9058441558441559,11.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,11.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9112337662337662,11.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,11.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9025557145777959,14.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,14.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.8968718053567779,18.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,18.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.8967082396237986,22.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,22.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.898834594152525,22.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,22.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9414285714285713,25.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,25.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9382142857142858,27.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,27.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9412662337662339,29.4
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,29.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9431493506493507,29.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,29.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9385802469135803,31.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,31.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9256172839506173,34.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,34.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9434567901234567,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,36.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9378703703703704,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,36.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.8886467208242521,37.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,37.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.9070735090152566,38.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,38.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.912654382141206,39.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,1469,1.0,39.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9054553860379102,39.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,39.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9193086934887844,39.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.017828180522068787,39.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,39.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,39.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1089,0.7895981087470448,5.0
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1089,1.0,5.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1089,0.7783469048244461,6.3
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1089,1.0,6.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1089,0.7751510375623851,7.4
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1089,1.0,7.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7868838105244724,7.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,7.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1089,0.7741123595505619,8.2
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1089,0.5,8.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1089,0.7256179775280898,9.0
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1089,0.5,9.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1089,0.7605393258426967,10.0
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1089,0.75,10.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7685393258426966,10.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.5,10.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1089,0.6690605239385728,11.0
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1089,0.75,11.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1089,0.6220415537488708,11.8
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1089,0.0,11.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1089,0.6609756097560975,12.9
BACE,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1089,0.0,12.9
