dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.4981912672519684,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5186156630516052,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.41134750843048096,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.46105435490608215,8.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.46585962176322937,10.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4710136830806732,10.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03657970623633073,10.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7765377163887024,25.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.7982921600341797,31.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7325326204299927,38.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7555937767028809,46.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7991331815719604,50.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7724178910255433,50.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.025589228749440675,50.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.857062578201294,22.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8803703188896179,27.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8604165315628052,34.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8374332785606384,40.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.860047459602356,46.5
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8590660333633423,46.5
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.013628276028718377,46.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9328571428571429,15.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9315068493150686,17.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,17.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9332467532467532,19.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,19.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9476234567901235,21.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,21.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9323360412126015,22.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,22.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9355140486843379,22.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.006082679017075056,22.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,22.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,22.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8597320724980299,9.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,9.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8076404494382022,10.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,10.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.6967479674796747,11.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.25,11.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8237963085326636,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,12.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8084656084656086,14.5
