dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.4423779845237732,3.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.43692103028297424,3.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.48645836114883423,5.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.44887861609458923,5.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.4934399724006653,6.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.46987003087997437,8.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.513949990272522,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.48698246479034424,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.44581782817840576,10.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.40438929200172424,11.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.43031150102615356,12.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.4152742624282837,12.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.3644137978553772,14.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.3701179325580597,16.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.3662443161010742,17.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.3569991886615753,17.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.45909929275512695,19.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.46945178508758545,20.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.42718544602394104,22.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.43794959783554077,22.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4292168259620667,22.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.04291735905250323,22.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8532025218009949,10.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8681198954582214,20.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8769606947898865,24.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8544803857803345,24.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9035291075706482,33.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9153813719749451,36.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9095630645751953,43.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9000887870788574,43.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8595798015594482,50.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8511261343955994,55.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8659102916717529,59.2
