dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.7095353007316589,4.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6788572669029236,6.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.7979861497879028,7.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6970233917236328,9.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7338272929191589,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.7234458804130555,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.04133720376239243,11.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8618910908699036,26.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9078526496887207,32.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8385173082351685,40.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8190279603004456,48.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8518568277359009,51.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8558291673660279,51.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.029708579298694297,51.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9034436345100403,23.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9419630169868469,37.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9232437014579773,47.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.9049885869026184,54.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9047437310218811,68.6
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9156765341758728,68.6
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.015044224374829784,68.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9158766233766233,16.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.907953383766101,20.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,20.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9351948051948051,23.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,23.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9438271604938272,26.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,26.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9181361865134403,29.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,29.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9241976318689595,29.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.013237160675521682,29.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,29.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,29.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7491025304264075,10.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,10.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7764494382022472,12.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,12.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7746612466124662,15.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.5,15.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8001850138760407,17.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,17.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8239858906525573,18.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,0.75,18.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7848768239539438,18.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.025373366765762583,18.7
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.7,18.7
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.09999999999999999,18.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.7164779774823703,55.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.13541666666666666,55.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7807820565874918,68.9
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.421875,68.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7703948860589463,80.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.390625,80.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7535437290225512,91.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.3489583333333333,91.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.774494085376356,109.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.3958333333333333,109.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7591385469055432,109.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.023161025084701466,109.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.33854166666666663,109.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.10421873698567302,109.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.7031438684155736,303.5
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.3373493975903614,303.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.6612690172012207,400.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.4457831325301205,400.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.712343931475029,443.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.4819277108433735,443.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6576926636378932,490.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.5542168674698795,490.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7397742369124116,558.2
