dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5578274130821228,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.527854323387146,6.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.49565526843070984,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.46958643198013306,7.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.5362712740898132,9.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.517438942193985,9.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.031172926224873544,9.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7379950284957886,26.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.7866796851158142,30.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7262125611305237,34.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7332801222801208,39.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.6894993782043457,43.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7347333550453186,43.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.031080180812692513,43.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8559602499008179,19.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8949010968208313,24.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8638061881065369,31.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8418050408363342,35.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9186229705810547,39.8
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.875019109249115,39.8
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02788811292860683,39.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9650324675324675,16.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9441014107544469,17.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,17.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9513636363636364,19.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,19.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9531481481481481,20.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,20.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9495409814411202,21.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,21.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9526373288479639,21.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0068988688474742035,21.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,21.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,21.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8504509237369757,8.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,8.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8386966292134832,9.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,9.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7941734417344174,10.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,10.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8751596845953923,11.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,11.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8559082892416225,12.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,12.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8428777937043783,12.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.027051294347035817,12.6
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.95,12.6
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.09999999999999999,12.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6892162926535755,49.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.2708333333333333,49.7
