dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.42684733867645264,2.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5092886686325073,4.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5332663655281067,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.47718727588653564,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.5037611126899719,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.4750033915042877,5.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.4898871183395386,6.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.4789677560329437,6.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4606539309024811,8.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.45334526896476746,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.4702509343624115,9.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.44262441992759705,9.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.44042932987213135,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.41836991906166077,10.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.4059782922267914,11.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.40818172693252563,11.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.5007655024528503,12.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.5064609050750732,13.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.5186164379119873,16.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4991190433502197,16.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.46121604442596437,16.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.032140716109880826,16.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,3024,0.7182962894439697,12.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,3024,0.726223349571228,17.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,3024,0.7241128087043762,24.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7071030139923096,24.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,3024,0.7527129054069519,27.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,3024,0.8041589856147766,29.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,3024,0.7628941535949707,32.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.758330225944519,32.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,3024,0.6798131465911865,36.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,3024,0.6733755469322205,40.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,3024,0.6860759258270264,42.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.6650592088699341,42.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,3024,0.741140604019165,44.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,3024,0.7250072360038757,46.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,3024,0.7325599193572998,49.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7154499888420105,49.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,3024,0.6969791650772095,54.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,3024,0.6884598135948181,57.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,3024,0.7110552191734314,62.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.6804827451705933,62.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7052850365638733,62.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.032105121975147026,62.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8629282116889954,12.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8451508283615112,15.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8507490158081055,18.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8389021158218384,18.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.8983516693115234,22.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.8805696964263916,27.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.8812660574913025,31.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.875072717666626,31.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8622221946716309,35.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8623045682907104,40.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8621858954429626,45.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8526946902275085,45.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8427702784538269,48.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8489412665367126,52.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8444439768791199,55.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8342409729957581,55.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.9134572148323059,59.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.9241176843643188,62.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.9037123918533325,66.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9054651856422424,66.1
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8612751364707947,66.1
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.0262608293780607,66.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9550649350649351,5.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,5.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9563636363636364,6.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,6.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9534090909090909,6.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,6.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9559740259740259,6.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,6.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.936209364138213,7.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,7.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9297076262523002,8.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,8.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9332242895113473,9.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,9.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.934042118176242,9.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,9.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9530519480519482,10.4
