dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.587502121925354,3.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5738084316253662,3.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5563400387763977,4.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5678555965423584,4.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.46202483773231506,5.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.44752511382102966,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.4446898400783539,8.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.44308850169181824,8.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4599275290966034,9.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.4694957435131073,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.49636000394821167,10.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.46191996335983276,10.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.4710862338542938,11.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.4669208228588104,11.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.47059866786003113,12.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.45704665780067444,12.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.5556646585464478,14.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.5473397374153137,16.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.5480791330337524,17.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.5428435802459717,17.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4945508599281311,17.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.05064678893886386,17.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8402923941612244,11.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8388006687164307,26.2
