dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6472437977790833,8.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6556787490844727,9.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.679290235042572,10.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6155877709388733,12.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7360081672668457,13.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6667617440223694,13.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.04018603922482554,13.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8502850532531738,37.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.852856457233429,42.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7714139819145203,48.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7769665718078613,54.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7886773943901062,64.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8080398917198182,64.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.03598636686211825,64.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.871059238910675,24.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9168298244476318,30.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8724056482315063,37.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8510168790817261,45.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.96866774559021,51.9
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8959958672523498,51.9
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.04222960789996252,51.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9508441558441558,15.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.926027397260274,17.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,17.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9408116883116882,18.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,18.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9520370370370371,20.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,20.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9292649098474342,21.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,21.2
