dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6450968384742737,5.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.7748007774353027,7.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5722194314002991,8.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5595492720603943,10.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.5514795184135437,13.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6206291675567627,13.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.08393269014857603,13.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8372167944908142,35.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9969152212142944,45.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8717102408409119,53.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8562081456184387,57.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8477931022644043,69.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8819687008857727,69.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.058570042535276756,69.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8546969294548035,38.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8963305354118347,47.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8527721166610718,57.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8385562896728516,66.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8671554923057556,78.9
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8619022727012634,78.9
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.019458742167270646,78.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9337662337662337,25.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,25.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8830096094868126,26.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,26.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9308766233766234,30.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,30.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9328086419753086,31.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,31.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9151311009840829,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,36.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9191184419178121,36.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.019287202400136143,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,36.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7853077663952367,12.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,12.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7122696629213482,14.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,14.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.6657181571815719,15.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.0,15.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.7447249019866966,16.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.25,16.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7729717813051147,20.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,20.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7361984539579935,20.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.04330533861405861,20.7
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.65,20.7
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.43588989435406733,20.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.5667469336321552,68.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.08854166666666667,68.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7573944580477358,75.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.3229166666666667,75.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7236619493786649,89.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.4583333333333333,89.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7303033943009932,97.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.3697916666666667,97.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.737902879320215,105.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.3333333333333333,105.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7032019229359527,105.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.06915786835047824,105.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.3145833333333333,105.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.12266039669211358,105.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.6915112985890666,355.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.3253012048192771,355.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.6567419719962093,400.2
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.3614457831325301,400.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.7340162972298415,436.1
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.5421686746987951,436.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6593450277637556,481.5
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.5662650602409639,481.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7322721271791954,553.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.4819277108433735,553.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.6947773445516136,553.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.03364033241865133,553.4
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.4554216867469879,553.4
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.09620464953097413,553.4
