dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.48149651288986206,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5466028451919556,5.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.4888271987438202,7.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5525418519973755,8.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.5838513970375061,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.5306639611721039,9.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03931754347810818,9.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.7883902788162231,27.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8214655518531799,34.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7901220321655273,39.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7795905470848083,43.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7721664905548096,51.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7903469800949097,51.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.016843252896979542,51.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.899723470211029,24.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9530047178268433,30.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9418811202049255,36.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.9044541716575623,43.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8936293721199036,50.9
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9185385704040527,50.9
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02410658164011845,50.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9278896103896104,16.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9313432835820896,18.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,18.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9243831168831168,20.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,20.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9171604938271605,22.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,22.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9216035928934682,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,24.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9244760195150891,24.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.004910973429186909,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,24.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7973907713860432,11.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.5,11.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7703370786516854,13.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,13.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7660343270099368,15.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,15.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.7895687414651337,16.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,16.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8419753086419753,18.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,18.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7930612454309549,18.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.02709380015393627,18.2
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.85,18.2
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.2,18.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.7294729800752053,56.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.3072916666666667,56.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.8036215521889915,65.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.609375,65.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.8096513507864502,75.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.5989583333333334,75.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7925804517744172,84.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.46875,84.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7927491166639875,93.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.546875,93.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7856150902978103,93.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.028821247790671894,93.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.50625,93.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.11123907561843746,93.3
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.738799095314287,326.7
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.42168674698795183,326.7
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.7493832815866714,440.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.5783132530120482,440.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.7711916499864087,520.2
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.5421686746987951,520.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.7215612905939761,573.2
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.5662650602409639,573.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7606789371685141,616.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.6987951807228916,616.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.7483228509299714,616.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.017225924551327137,616.0
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.5614457831325301,616.0
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.08840451242334527,616.0
