dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5793981552124023,4.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5829223394393921,6.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.4890134036540985,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5080327987670898,9.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.5200442671775818,11.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.535882192850113,11.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03828714252215133,11.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8183469772338867,27.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8129754662513733,32.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7386942505836487,38.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.7803055047988892,42.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.7431948184967041,48.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.7787034034729003,48.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.03349730102029224,48.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8775328993797302,19.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9058788418769836,24.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8813766837120056,28.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8544973731040955,33.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8811399936676025,37.8
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8800851583480835,37.8
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.016305481316661617,37.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9291233766233765,15.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9306481292169291,17.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,17.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9464610389610391,18.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,18.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9498456790123456,19.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,19.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9339211412720427,21.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,21.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9379998730171465,21.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.008501656621943124,21.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,21.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,21.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8518518518518519,9.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,9.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8266966292134831,11.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,11.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7921409214092141,12.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,12.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8508435751728999,13.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,13.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7891093474426808,14.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,14.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8221284650180258,14.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.02727057130806509,14.1
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,1.0,14.1
