dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.7095353007316589,5.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6788572669029236,8.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.7979861497879028,9.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6970233917236328,12.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7338272929191589,14.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.7234458804130555,14.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.04133720376239243,14.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8618910908699036,38.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9078526496887207,50.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8385173082351685,64.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8190279603004456,75.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8518568277359009,80.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8558291673660279,80.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.029708579298694297,80.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9034436345100403,27.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9419630169868469,43.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.9232437014579773,61.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.9049885869026184,74.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9047437310218811,98.1
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9156765341758728,98.1
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.015044224374829784,98.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9158766233766233,24.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,24.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.907953383766101,30.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,30.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9351948051948051,35.9
