dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9623051948051948,6.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,6.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9332651809445922,9.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,9.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9585714285714284,12.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,12.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9553395061728396,15.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,15.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9448847500165116,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9508732121021132,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0105432915871004,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,17.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8794326241134752,6.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,6.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8418876404494382,8.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,8.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.8074977416440831,11.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,11.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8709307960001761,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,13.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8545414462081129,15.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,15.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8508580496830571,15.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.0252728052008676,15.3
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,1.0,15.3
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.0,15.3
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29611,0.7751886214972535,151.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29611,0.5542168674698795,151.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29611,0.7430302605771926,254.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29611,0.6626506024096386,254.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29612,0.8441173138630492,323.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29612,0.7710843373493976,323.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29612,0.7595779609744285,402.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29612,0.7108433734939759,402.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29612,0.7690706040480708,472.2
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29612,0.6506024096385542,472.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41127,0.7781969521919989,472.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41127,0.0347021538234907,472.2
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41127,0.6698795180722892,472.2
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41127,0.0717247039331914,472.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,5633,0.7179705442277675,35.3
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,5633,0.3835164835164835,35.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,5633,0.7098422840167798,36.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,5633,0.3190476190476191,36.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,5633,0.7019377002327299,38.3
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,5633,0.3878205128205128,38.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.7181218306685184,38.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.3954822954822954,38.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,5633,0.8114878743050918,40.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,5633,0.6336996336996338,40.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,5633,0.8089308297300799,41.7
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,5633,0.6270299145299145,41.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,5633,0.8076194014459427,43.3
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,5633,0.5950854700854701,43.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.8152083846457212,43.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.6587606837606838,43.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,5633,0.8159061934250059,45.0
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,5633,0.6533272283272283,45.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,5633,0.8146726917136741,46.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,5633,0.6375305250305251,46.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,5633,0.808009550146766,47.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,5633,0.5893162393162393,47.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.8192042799475961,47.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.6612637362637362,47.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,5634,0.805776373760081,49.4
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,5634,0.6148351648351649,49.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,5634,0.8061962596857207,51.2
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,5634,0.6021214896214896,51.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,5634,0.8077208471007445,52.8
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,5634,0.6146978021978022,52.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.8123343198355218,52.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.6410103785103786,52.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,5634,0.8002004986141276,54.6
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,5634,0.5541971916971917,54.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,5634,0.8002833229294564,56.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,5634,0.6169566544566545,56.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,5634,0.7973598232873971,58.5
Tox21,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold4,5634,0.6057234432234432,58.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.8048582844259662,58.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.6134462759462759,58.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7939454199046648,58.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.0382010016036936,58.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.593992673992674,58.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.1007132250022838,58.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,1.1516969203948977,2.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,1.1070051193237305,3.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,1.115264654159546,3.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,1.1093101501464844,3.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.955090343952179,3.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.9978173971176147,4.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.9973079562187196,4.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.9589378237724304,4.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.9800097942352296,4.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.955460488796234,5.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.9732924699783324,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.9335781931877136,5.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.9572739601135254,5.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.9481019377708436,5.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.866963267326355,6.1
