dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9527597402597402,6.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,6.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9364547127376814,9.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,9.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9524025974025976,12.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,12.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9511111111111112,15.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,15.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9499702793738856,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9485396881770032,17.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.0061226847985807,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,17.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,17.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8687943262411347,5.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,5.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.8389662921348314,8.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,8.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7905600722673893,10.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,10.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.869653319237038,12.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,12.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8507495590828925,14.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,14.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8437447137926573,14.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.0289801524673107,14.7
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.95,14.7
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.0999999999999999,14.7
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29611,0.772475267745055,160.1
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29611,0.5180722891566265,160.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29611,0.7363679524298745,273.2
