dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5824093222618103,4.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.4779653549194336,5.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.376306414604187,6.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4275963306427002,7.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4538916051387787,9.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.46363380551338196,9.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.06831207792687259,9.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.6732189059257507,24.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.702683687210083,29.3
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.6685916185379028,34.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.6859517097473145,38.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.6459426283836365,42.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.6752777099609375,42.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.018838850093037214,42.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8418475985527039,20.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8862825632095337,27.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8514171242713928,31.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8220469355583191,36.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8476768136024475,41.7
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8498542070388794,41.7
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02084014881133641,41.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9428571428571428,15.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,15.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9484359026783888,16.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,16.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9592532467532467,17.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,17.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9341358024691359,18.8
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,18.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9355392642493892,19.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,19.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9440442718014607,19.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.00919262241086946,19.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,19.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,19.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8481306365467122,9.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,9.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7978876404494382,10.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,10.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7794941282746161,10.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.75,10.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8460860755032817,12.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,12.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8387125220458554,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,13.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8220622005639807,13.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.028037094222828907,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.9,13.1
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.1224744871391589,13.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.698619476792745,49.4
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.25,49.4
