dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5952368974685669,5.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.5974201560020447,7.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6033563613891602,9.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.669086217880249,10.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6096298694610596,11.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.614945900440216,11.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.027529431848635776,11.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8294304609298706,26.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9110117554664612,31.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8151675462722778,40.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8284423351287842,48.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8409004211425781,55.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8449905037879943,55.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.034002647143839666,55.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9218399524688721,18.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.926658570766449,29.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8893027901649475,40.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8672363758087158,54.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9381772875785828,65.7
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9086429953575135,65.7
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02630416974801912,65.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9403246753246753,16.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9223062768350031,20.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,20.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9455519480519481,24.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,24.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.948395061728395,27.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,27.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9141073905290271,31.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,31.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9341370704938097,31.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.013513193222511303,31.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,31.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,31.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8298747920497329,10.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,1.0,10.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7615280898876404,12.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,12.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.6725383920505872,14.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.75,14.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.7974098057354302,16.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.75,16.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7697971781305116,18.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,18.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7662296515707805,18.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.0526037830556166,18.5
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.9,18.5
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.1224744871391589,18.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.7094468327837634,53.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.3177083333333333,53.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7978139181623622,63.9
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.390625,63.9
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7718723696524142,75.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.4270833333333333,75.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7711397247450447,84.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.40625,84.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7892588630132914,96.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.4479166666666667,96.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7679063416713752,96.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.030964791692015194,96.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.39791666666666664,96.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.044512209623378124,96.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.7266066585096642,13343.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.3493975903614458,13343.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.6818707327181903,13400.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.4578313253012048,13400.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.669212143536709,13475.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.5180722891566265,13475.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6627650176678446,13550.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.6024096385542169,13550.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7211905253696594,13615.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.5662650602409639,13615.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.6923290155604135,13615.8
