dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold0,4923,211.2279815673828,13.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold0,4923,218.5771026611328,16.2
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold0,4923,210.32101440429688,19.1
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold0,4923,208.4215850830078,19.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold1,4923,222.64244079589844,22.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold1,4923,230.80247497558594,25.2
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold1,4923,225.11155700683594,28.3
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold1,4923,220.663330078125,28.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold2,4923,223.33676147460938,31.0
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold2,4923,223.32003784179688,33.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold2,4923,393.0445556640625,36.1
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold2,4923,257.34735107421875,36.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold3,4924,347.39300537109375,38.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold3,4924,293.580322265625,41.4
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold3,4924,234.34898376464844,44.0
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold3,4924,283.2948303222656,44.0
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s0_fold4,4924,277.973876953125,48.9
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s1_fold4,4924,263.1316223144531,52.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s2_fold4,4924,218.9296875,55.4
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold4,4924,235.64691162109375,55.4
QM7,regression,chemeleon,-,zscore,mlp,rmse,MEAN,6838,241.07480163574218,55.4
QM7,regression,chemeleon,-,zscore,mlp,rmse,STD,6838,26.682014166538583,55.4
