dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s3_fold0,4923,206.3932647705078,48.9
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s4_fold0,4923,216.2716522216797,52.0
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s5_fold0,4923,218.70726013183594,54.9
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold0,4923,205.78433227539062,54.9
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s3_fold1,4923,233.5963897705078,57.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s4_fold1,4923,218.18626403808594,60.1
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s5_fold1,4923,218.0971221923828,62.9
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold1,4923,216.302490234375,62.9
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s3_fold2,4923,524.6904296875,66.0
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s4_fold2,4923,258.03265380859375,68.7
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s5_fold2,4923,294.663818359375,71.3
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold2,4923,344.097412109375,71.3
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s3_fold3,4924,410.4727783203125,74.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s4_fold3,4924,370.1358642578125,78.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s5_fold3,4924,276.1678466796875,81.8
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold3,4924,341.6139221191406,81.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s3_fold4,4924,232.26156616210938,86.8
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s4_fold4,4924,243.49041748046875,89.6
QM7,regression,chemeleon,-,zscore,mlp,rmse_cell,s5_fold4,4924,243.52919006347656,93.2
QM7,regression,chemeleon,-,zscore,mlp,rmse,fold4,4924,224.5535125732422,93.2
QM7,regression,chemeleon,-,zscore,mlp,rmse,MEAN,6838,266.4703338623047,93.2
QM7,regression,chemeleon,-,zscore,mlp,rmse,STD,6838,62.65643680126123,93.2
