dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold0,787,0.5888746380805969,18.8
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold1,819,0.7585402727127075,26.3
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold2,819,0.6250687837600708,38.6
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold3,819,0.6292069554328918,57.1
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,fold4,819,0.7024757862091064,74.9
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,MEAN,1128,0.6608332872390748,74.9
ESOL,regression,encoder_finetune,mean,none,linear_e2e,rmse,STD,1128,0.0612178478748496,74.9
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold0,1468,0.9373051948051948,53.4
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold0,1468,1.0,53.4
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold1,1468,0.9236761398487017,104.5
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold1,1468,1.0,104.5
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold2,1468,0.9348701298701299,156.1
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold2,1468,1.0,156.1
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold3,1468,0.9419907407407407,208.7
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold3,1468,1.0,208.7
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold4,1469,0.9225942804306189,250.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold4,1469,1.0,250.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,MEAN,2039,0.9320872971390772,250.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,STD,2039,0.007666990836370298,250.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,MEAN,2039,1.0,250.8
BBBP,classification,encoder_finetune,mean,none,linear_e2e,nef1,STD,2039,0.0,250.8
BACE,classification,encoder_finetune,mean,none,linear_e2e,roc_auc,fold0,1089,0.8462700288941424,35.5
BACE,classification,encoder_finetune,mean,none,linear_e2e,nef1,fold0,1089,1.0,35.5
