dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s0_fold0,787,1.0230730772018433,7.7
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s1_fold0,787,0.9837679862976074,11.4
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s2_fold0,787,1.01336669921875,15.2
ESOL,regression,ecfp4,-,none,xgb,rmse,fold0,787,0.999430775642395,15.2
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s0_fold1,819,0.8301746845245361,17.7
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s1_fold1,819,0.8786941766738892,20.5
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s2_fold1,819,0.8706820011138916,22.6
ESOL,regression,ecfp4,-,none,xgb,rmse,fold1,819,0.8533040285110474,22.6
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s0_fold2,819,0.769864022731781,28.2
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s1_fold2,819,0.7466751933097839,31.5
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s2_fold2,819,0.7578225135803223,37.7
ESOL,regression,ecfp4,-,none,xgb,rmse,fold2,819,0.7388240098953247,37.7
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s0_fold3,819,0.610044002532959,39.7
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s1_fold3,819,0.5958408117294312,41.6
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s2_fold3,819,0.6257441639900208,43.6
ESOL,regression,ecfp4,-,none,xgb,rmse,fold3,819,0.6009873747825623,43.6
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s0_fold4,819,0.646339476108551,45.7
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s1_fold4,819,0.6479412913322449,47.9
ESOL,regression,ecfp4,-,none,xgb,rmse_cell,s2_fold4,819,0.6228305101394653,50.1
ESOL,regression,ecfp4,-,none,xgb,rmse,fold4,819,0.6322860717773438,50.1
ESOL,regression,ecfp4,-,none,xgb,rmse,MEAN,1128,0.7649664521217346,50.1
ESOL,regression,ecfp4,-,none,xgb,rmse,STD,1128,0.14693787450840456,50.1
QM7,regression,ecfp4,-,none,xgb,rmse_cell,s0_fold0,4923,0.9340892434120178,7.2
QM7,regression,ecfp4,-,none,xgb,rmse_cell,s1_fold0,4923,0.9365643262863159,9.3
QM7,regression,ecfp4,-,none,xgb,rmse_cell,s2_fold0,4923,0.9358037710189819,13.2
QM7,regression,ecfp4,-,none,xgb,rmse,fold0,4923,0.9326657056808472,13.2
QM7,regression,ecfp4,-,none,xgb,rmse_cell,s0_fold1,4923,0.9549434185028076,17.0
