dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold0,787,0.37540000677108765,15.2
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s1_fold0,787,0.3476373553276062,18.8
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s2_fold0,787,0.3350685238838196,24.0
ESOL,regression,fp_desc,-,none,xgb,rmse,fold0,787,0.34295907616615295,24.0
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold1,819,0.37789955735206604,27.7
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s1_fold1,819,0.3967125117778778,30.6
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s2_fold1,819,0.39362818002700806,33.6
ESOL,regression,fp_desc,-,none,xgb,rmse,fold1,819,0.38232919573783875,33.6
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold2,819,0.34585151076316833,37.4
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s1_fold2,819,0.37624382972717285,42.2
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s2_fold2,819,0.3562925159931183,45.3
ESOL,regression,fp_desc,-,none,xgb,rmse,fold2,819,0.3505476713180542,45.3
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold3,819,0.3506127595901489,48.2
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s1_fold3,819,0.34156376123428345,51.6
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s2_fold3,819,0.3439892530441284,60.4
ESOL,regression,fp_desc,-,none,xgb,rmse,fold3,819,0.3384060859680176,60.4
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold4,819,0.3815554976463318,63.3
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s1_fold4,819,0.38175904750823975,67.2
ESOL,regression,fp_desc,-,none,xgb,rmse_cell,s2_fold4,819,0.35937100648880005,70.1
ESOL,regression,fp_desc,-,none,xgb,rmse,fold4,819,0.36595243215560913,70.1
ESOL,regression,fp_desc,-,none,xgb,rmse,MEAN,1128,0.35603889226913454,70.1
ESOL,regression,fp_desc,-,none,xgb,rmse,STD,1128,0.016134492768174604,70.1
QM7,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold0,4923,0.8257232308387756,40.5
QM7,regression,fp_desc,-,none,xgb,rmse_cell,s1_fold0,4923,0.817790687084198,43.9
QM7,regression,fp_desc,-,none,xgb,rmse_cell,s2_fold0,4923,0.8207547664642334,47.4
QM7,regression,fp_desc,-,none,xgb,rmse,fold0,4923,0.8171296715736389,47.4
QM7,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold1,4923,0.8546017408370972,51.0
QM7,regression,fp_desc,-,none,xgb,rmse_cell,s1_fold1,4923,0.8541198372840881,54.5
QM7,regression,fp_desc,-,none,xgb,rmse_cell,s2_fold1,4923,0.8585808277130127,58.0
QM7,regression,fp_desc,-,none,xgb,rmse,fold1,4923,0.8517422676086426,58.0
QM7,regression,fp_desc,-,none,xgb,rmse_cell,s0_fold2,4923,0.8351973295211792,61.2
