dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6498684883117676,4.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6843752861022949,6.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.6323761343955994,7.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.692538857460022,7.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.7331253886222839,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6784568309783936,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03510756815766723,9.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8243692517280579,32.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8478108048439026,36.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.7774640321731567,41.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.783166229724884,49.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.782177209854126,57.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8029975056648254,57.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.028084535975179098,57.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8835633993148804,25.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9083989858627319,32.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8707836270332336,42.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8496283292770386,51.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9915415644645691,58.0
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.9007831811904907,58.0
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.04921056314876971,58.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9482142857142857,16.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9193212022081374,18.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,18.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9372727272727273,20.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,20.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.949320987654321,22.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,22.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9281751535565682,23.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,23.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9364608712812078,23.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.011546478495744384,23.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,23.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,23.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8408633219507924,11.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,11.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7836853932584269,12.6
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,12.6
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7714543812104787,15.0
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,15.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8696973701599049,16.3
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,16.3
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.8207671957671958,18.4
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,1.0,18.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.8172935324693598,18.4
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.036178718404495214,18.4
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.9,18.4
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.1224744871391589,18.4
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6787496833790071,52.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.2552083333333333,52.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7792144521724603,58.6
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.4479166666666667,58.6
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7647804047281154,69.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.5052083333333334,69.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7714438537159528,81.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.4947916666666667,81.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7601896128954744,93.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.4895833333333333,93.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.750875601378202,93.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.03662891175707752,93.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.4385416666666667,93.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.09371527134535404,93.7
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.7452990282899672,375.5
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.40963855421686746,375.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.7172038866954121,431.1
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.5060240963855421,431.1
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.8168916957026713,480.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.6024096385542169,480.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.7275193504963824,538.2
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.6024096385542169,538.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7379171449543797,601.0
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.6024096385542169,601.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.7489662212277624,601.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.035265321868070326,601.0
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.5445783132530121,601.0
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.07710843373493978,601.0
