dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.45324721932411194,4.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.43341389298439026,6.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.38828667998313904,7.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.450151264667511,8.4
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.48491838574409485,9.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4420034885406494,9.8
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03160307837268722,9.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.6703616976737976,24.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.6753436326980591,28.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.656536877155304,31.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.6817092895507812,34.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.6168314814567566,39.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.6601565957069397,39.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.02319257078391456,39.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8399702906608582,21.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.900447428226471,26.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8591919541358948,31.9
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8253384232521057,40.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8571872711181641,48.5
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8564270734786987,48.5
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.025232296650302414,48.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9403246753246752,16.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9430791249233286,17.4
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,17.4
