dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.48597079515457153,2.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5228630900382996,3.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.49688205122947693,4.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.49092069268226624,4.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.4219551682472229,5.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.4068983197212219,6.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.40396443009376526,8.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.40312737226486206,8.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4239180088043213,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.4004010260105133,10.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.42356476187705994,12.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.40951040387153625,12.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.42044153809547424,13.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.4103130102157593,13.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.4186422824859619,15.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.4015564024448395,15.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.3845241069793701,16.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.40269169211387634,17.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.4091276526451111,18.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.3889155089855194,18.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4188060760498047,18.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.03667082340109389,18.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.849017322063446,28.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.831270694732666,56.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8457871079444885,60.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8336868286132812,60.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9054328203201294,65.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9063030481338501,69.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9047295451164246,75.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.8998391628265381,75.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8582967519760132,84.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8541041016578674,88.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8582109808921814,95.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.850325345993042,95.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8308348059654236,101.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8214402794837952,109.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8317520022392273,118.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8215224146842957,118.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8654516339302063,132.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8552525043487549,140.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8645572066307068,152.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.852540135383606,152.5
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8515827775001525,152.5
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.026664833740577282,152.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9469480519480519,6.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9453896103896104,8.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,8.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9396428571428571,9.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,9.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9459415584415585,9.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,9.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9369454099366182,11.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,11.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9413616847270495,13.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,13.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.9439787364547129,14.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,14.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9415252504600287,14.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,14.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.9556493506493506,15.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,15.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9551623376623377,16.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,16.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9548701298701299,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9558441558441559,17.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,17.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9505864197530864,19.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,19.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9463580246913581,20.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,20.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9469444444444445,21.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold3,1468,1.0,21.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9494135802469135,21.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,21.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold4,1469,0.9336239350108977,23.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold4,1469,1.0,23.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold4,1469,0.9167162010435242,23.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold4,1469,1.0,23.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold4,1469,0.9130836800739712,24.9
