dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.6476080417633057,6.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.8505648970603943,8.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5916596055030823,10.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.6366139650344849,11.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.5869325399398804,13.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6626758098602294,13.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.0969421587335231,13.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8203850388526917,27.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.9111521244049072,35.2
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.9343472123146057,46.0
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8311864137649536,56.8
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8476788401603699,63.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8689499258995056,63.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.04537603072168361,63.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8359672427177429,20.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9065265655517578,25.0
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8578322529792786,29.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8251024484634399,36.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8517078161239624,44.2
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8554272651672363,44.2
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.02803228049660882,44.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9324025974025975,16.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,16.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8849315068493151,17.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,17.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.938116883116883,19.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,19.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9479629629629629,21.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,21.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9006010171058715,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,24.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9208029934875259,24.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.023945224702854772,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,24.5
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,24.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.8323264162507661,12.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,12.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.7137977528089888,13.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,1.0,13.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7312104787714544,16.9
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,0.5,16.9
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.78155147350337,18.8
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,1.0,18.8
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7439594356261023,22.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,0.75,22.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7605691113921363,22.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.04222497114851252,22.1
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.8,22.1
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.18708286933869706,22.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.5405928345162352,60.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.0625,60.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7486087664010818,68.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.375,68.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7220251851188254,80.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.421875,80.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7245850195928297,85.8
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.359375,85.8
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.746295481282132,90.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.3385416666666667,90.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.6964214573822208,90.2
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.07866667693160756,90.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.31145833333333334,90.2
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.12746697557058106,90.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.6685587489554188,392.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.1927710843373494,392.4
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.6500936772123213,434.2
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.21686746987951808,434.2
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.7354916506041959,467.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.4457831325301205,467.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6343046441191318,503.9
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.2891566265060241,503.9
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7283538362154753,571.3
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.3253012048192771,571.3
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.6833605114213086,571.3
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.04116869562104828,571.3
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.29397590361445786,571.3
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.08970848418788571,571.3
