dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.6014362573623657,4.4
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5856580138206482,5.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5904570817947388,5.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5876590609550476,5.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.4518226683139801,7.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.47228750586509705,8.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.4665990173816681,8.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.4541635811328888,8.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.4158634543418884,9.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.4094799757003784,10.7
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.41595330834388733,11.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.40407252311706543,11.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.3708644509315491,12.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.36706772446632385,13.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.3849477767944336,14.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.36398017406463623,14.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.4878526031970978,16.1
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.4798458516597748,17.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.4773794114589691,18.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.4750828444957733,18.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.4569916367530823,18.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.07597477242245917,18.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8546479940414429,9.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8680457472801208,14.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8595574498176575,19.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8511901497840881,19.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.906520426273346,26.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9146395325660706,30.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9041623473167419,38.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9004991054534912,38.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.8730747103691101,44.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.8666735887527466,50.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.8698723912239075,54.2
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8608471155166626,54.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8256419897079468,60.1
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8314481377601624,65.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8372097015380859,70.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8254507184028625,70.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8544933199882507,79.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.8583869934082031,83.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8592873215675354,90.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8451244831085205,90.3
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.856622314453125,90.3
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.024804832881749173,90.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.9453571428571429,6.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,6.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9468831168831169,7.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,7.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.9467532467532467,9.1
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,9.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9483441558441559,9.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,9.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.9209568595379268,10.5
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,10.5
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.9221427111020241,11.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,11.9
