dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5833556652069092,5.6
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.678294837474823,7.1
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.7000014185905457,9.0
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.7119225263595581,10.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6972044110298157,12.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6741557717323303,12.7
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.04666338221840954,12.7
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold0,3024,0.8296591639518738,27.9
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold1,3024,0.8791195154190063,38.5
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold2,3024,0.8067154884338379,44.6
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold3,3024,0.8503029346466064,52.4
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,fold4,3024,0.8278550505638123,59.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,MEAN,4200,0.8387304306030273,59.1
Lipophilicity,regression,encoder,mean,zscore,mlp,rmse,STD,4200,0.024456979837507466,59.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.9013276696205139,21.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9437179565429688,34.8
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.899289071559906,51.1
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8854349255561829,59.3
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.9245038628578186,75.2
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.910854697227478,75.2
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.020673588363749027,75.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.8883116883116883,24.1
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,24.1
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.9037006747086486,27.9
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,27.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9387012987012987,30.7
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,30.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1468,0.9498148148148148,33.6
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold3,1468,1.0,33.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1469,0.9165510864539991,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold4,1469,1.0,36.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,2039,0.9194159125980897,36.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,STD,2039,0.022444010659185738,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,MEAN,2039,1.0,36.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,STD,2039,0.0,36.0
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1089,0.7832501532265125,10.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold0,1089,0.75,10.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1089,0.776494382022472,12.1
BACE,classification,encoder,mean,zscore,mlp,nef1,fold1,1089,0.75,12.1
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1089,0.7562330623306234,14.7
BACE,classification,encoder,mean,zscore,mlp,nef1,fold2,1089,1.0,14.7
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold3,1090,0.8357341086295758,17.2
BACE,classification,encoder,mean,zscore,mlp,nef1,fold3,1090,0.5,17.2
BACE,classification,encoder,mean,zscore,mlp,roc_auc,fold4,1090,0.7782186948853616,19.5
BACE,classification,encoder,mean,zscore,mlp,nef1,fold4,1090,0.5,19.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,1513,0.7859860802189089,19.5
BACE,classification,encoder,mean,zscore,mlp,roc_auc,STD,1513,0.026525528497238007,19.5
BACE,classification,encoder,mean,zscore,mlp,nef1,MEAN,1513,0.7,19.5
BACE,classification,encoder,mean,zscore,mlp,nef1,STD,1513,0.18708286933869706,19.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold0,5633,0.6501270500170312,63.3
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold0,5633,0.16145833333333334,63.3
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold1,5633,0.7547858274321747,73.1
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold1,5633,0.3802083333333333,73.1
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold2,5633,0.7517868745809461,84.7
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold2,5633,0.4947916666666667,84.7
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold3,5634,0.7531201273254943,101.5
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold3,5634,0.3229166666666667,101.5
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,fold4,5634,0.7429221818524802,118.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,fold4,5634,0.4010416666666667,118.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,7823,0.7305484122416253,118.0
Tox21,classification,encoder,mean,zscore,mlp,roc_auc,STD,7823,0.04041958083881392,118.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,MEAN,7823,0.35208333333333336,118.0
Tox21,classification,encoder,mean,zscore,mlp,nef1,STD,7823,0.1102199505534275,118.0
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold0,29607,0.7419592206925466,396.3
HIV,classification,encoder,mean,zscore,mlp,nef1,fold0,29607,0.37349397590361444,396.3
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold1,29607,0.7026488958692348,489.6
HIV,classification,encoder,mean,zscore,mlp,nef1,fold1,29607,0.43373493975903615,489.6
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold2,29607,0.7430859944522699,556.4
HIV,classification,encoder,mean,zscore,mlp,nef1,fold2,29607,0.5783132530120482,556.5
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold3,29607,0.6990459363957598,637.3
HIV,classification,encoder,mean,zscore,mlp,nef1,fold3,29607,0.5421686746987951,637.3
HIV,classification,encoder,mean,zscore,mlp,roc_auc,fold4,29607,0.7507158796035546,715.8
HIV,classification,encoder,mean,zscore,mlp,nef1,fold4,29607,0.6626506024096386,715.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,MEAN,41120,0.7274911854026731,715.8
HIV,classification,encoder,mean,zscore,mlp,roc_auc,STD,41120,0.021991726060022403,715.8
HIV,classification,encoder,mean,zscore,mlp,nef1,MEAN,41120,0.5180722891566265,715.8
HIV,classification,encoder,mean,zscore,mlp,nef1,STD,41120,0.1030807211383491,715.8
