dataset,task_type,featurizer,pool,standardize,head,main_metric,head_seed,n_train,main_value,elapsed_seconds
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,787,0.5861336588859558,2.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,787,0.5731726288795471,3.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,787,0.5508391261100769,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold0,787,0.5579924583435059,4.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,819,0.5972136855125427,5.3
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,819,0.637630045413971,6.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,819,0.6320523023605347,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold1,819,0.6046033501625061,6.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,819,0.6096271872520447,8.6
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,819,0.614952802658081,9.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,819,0.595840334892273,11.2
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold2,819,0.5952801704406738,11.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,819,0.603274405002594,14.2
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,819,0.5996525287628174,14.9
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,819,0.6226685643196106,15.5
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold3,819,0.5860773324966431,15.5
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,819,0.7025396227836609,17.0
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,819,0.6788846850395203,18.8
ESOL,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,819,0.7060621380805969,20.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,fold4,819,0.6862682104110718,20.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,MEAN,1128,0.6060443043708801,20.3
ESOL,regression,encoder,mean,zscore,mlp,rmse,STD,1128,0.043038303640149676,20.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold0,4923,0.8952152132987976,9.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold0,4923,0.8869872689247131,13.3
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold0,4923,0.8687714338302612,17.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold0,4923,0.8762416839599609,17.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold1,4923,0.9561622142791748,21.8
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold1,4923,0.9517529606819153,26.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold1,4923,0.9656227231025696,29.5
QM7,regression,encoder,mean,zscore,mlp,rmse,fold1,4923,0.9476311206817627,29.5
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold2,4923,0.9090859293937683,34.2
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold2,4923,0.9114030599594116,39.9
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold2,4923,0.9152764678001404,48.7
QM7,regression,encoder,mean,zscore,mlp,rmse,fold2,4923,0.8996490240097046,48.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold3,4924,0.8761534690856934,54.0
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold3,4924,0.8798788189888,60.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold3,4924,0.8806460499763489,65.6
QM7,regression,encoder,mean,zscore,mlp,rmse,fold3,4924,0.8699387311935425,65.6
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s0_fold4,4924,0.8988065719604492,70.7
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s1_fold4,4924,0.9024364948272705,78.4
QM7,regression,encoder,mean,zscore,mlp,rmse_cell,s2_fold4,4924,0.8934093713760376,84.4
QM7,regression,encoder,mean,zscore,mlp,rmse,fold4,4924,0.8864355683326721,84.4
QM7,regression,encoder,mean,zscore,mlp,rmse,MEAN,6838,0.8959792256355286,84.4
QM7,regression,encoder,mean,zscore,mlp,rmse,STD,6838,0.027713336063586908,84.4
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold0,1468,0.8950649350649351,5.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold0,1468,1.0,5.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold0,1468,0.9100649350649351,6.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold0,1468,1.0,6.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold0,1468,0.8946753246753246,8.0
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold0,1468,1.0,8.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold0,1468,0.9025,8.0
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold0,1468,1.0,8.0
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold1,1468,0.8888979758740544,9.6
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold1,1468,1.0,9.6
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold1,1468,0.8756491515027601,10.9
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold1,1468,1.0,10.9
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold1,1468,0.8696790022490288,12.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold1,1468,1.0,12.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold1,1468,0.8843999182171335,12.3
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold1,1468,1.0,12.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold2,1468,0.915974025974026,13.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold2,1468,1.0,13.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold2,1468,0.9205194805194804,14.8
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold2,1468,1.0,14.8
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold2,1468,0.9274025974025975,16.2
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s2_fold2,1468,1.0,16.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc,fold2,1468,0.9242857142857143,16.2
BBBP,classification,encoder,mean,zscore,mlp,nef1,fold2,1468,1.0,16.2
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s0_fold3,1468,0.9083950617283951,17.7
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s0_fold3,1468,1.0,17.7
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s1_fold3,1468,0.9029938271604939,19.3
BBBP,classification,encoder,mean,zscore,mlp,nef1_cell,s1_fold3,1468,1.0,19.3
BBBP,classification,encoder,mean,zscore,mlp,roc_auc_cell,s2_fold3,1468,0.9183950617283949,20.7
